row_label_raw,row_label_full,col_0,Code,Note,31/12/2023 VND'000,1/1/2023 VND'000,numeric__Code,numeric__Note,numeric__31/12/2023 VND'000,numeric__1/1/2023 VND'000
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"10,603,675,497","12,228,222,738",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,7,"974,184,354","1,502,879,248",110.0,7.0,,
Cash,ASSETS > Cash,Cash,111,,"974,184,354","802,638,824",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,-,"700,240,424",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"8,110,000","8,110,000",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,8(a),"8,110,000","8,110,000",123.0,,,
Accounts receivable - short-term,ASSETS > Accounts receivable - short-term,Accounts receivable - short-term,130,,"2,757,111,564","2,940,659,090",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,9,"1,668,813,631","2,170,552,039",131.0,9.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"206,875,846","371,552,598",132.0,,,
Other receivables,ASSETS > Other receivables,Other receivables,136,10,"890,086,488","413,428,141",136.0,10.0,,
Allowance for doubtful debts,ASSETS > Allowance for doubtful debts,Allowance for doubtful debts,137,,"(8,664,401)","(14,873,688)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,11,"5,997,555,598","6,858,167,780",140.0,11.0,,
Inventories,ASSETS > Inventories,Inventories,141,,"6,191,668,845","6,905,038,000",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(194,113,247)","(46,870,220)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"866,713,981","918,406,620",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,,"61,872,986","74,887,091",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"780,061,010","807,301,517",152.0,,,
Taxes and others receivable fromState Treasury,ASSETS > Taxes and others receivable fromState Treasury,Taxes and others receivable fromState Treasury,153,,"24,779,985","36,218,012",153.0,,,
