row_label_raw,row_label_full,Mr. Danny Le,Chairman,numeric__Chairman
Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,Mr. Nguyen Thieu Nam,"First Vice Chairman, Non-executive Member",
Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Mr. Craig Richard Bradshaw,Executive Member,
Mr. Tadakazu Ohashi,Mr. Tadakazu Ohashi,Mr. Tadakazu Ohashi,Non-executive Member (from 18/4/2023),
Mr. Akira Osada,Mr. Akira Osada,Mr. Akira Osada,Non-executive Member (until 31/3/2023),
Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Ms. Nguyen Thu Hien,Independent member,
