row_label_raw,row_label_full,col_0,2023Nghìn VND,2022Nghìn VND,numeric__2023Nghìn VND,numeric__2022Nghìn VND
Chi phí thuế hiện hành,Chi phí thuế hiện hành,Chi phí thuế hiện hành,Chi phí thuế hiện hành,Chi phí thuế hiện hành,,
Năm hiện hành,Chi phí thuế hiện hành > Năm hiện hành,Năm hiện hành,56.633.077,47.666.207,56633077.0,47666207.0
Dự phòng thiếu/(thừa) trong những năm trước,Chi phí thuế hiện hành > Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,356.692,(2.403.641),356692.0,-2403641.0
,,,56.989.769,45.262.566,56989769.0,45262566.0
Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại,,
Phát sinh và hoàn nhập chênh lệch tạm thời,Lợi ích thuế thu nhập hoãn lại > Phát sinh và hoàn nhập chênh lệch tạm thời,Phát sinh và hoàn nhập chênh lệch tạm thời,(169.185.142),(9.336.031),-169185142.0,-9336031.0
Lợi ích của lỗ tính thuế được ghi nhận,Lợi ích thuế thu nhập hoãn lại > Lợi ích của lỗ tính thuế được ghi nhận,Lợi ích của lỗ tính thuế được ghi nhận,-,(97.182.841),,-97182841.0
Hoàn nhập ghi giảm tài sản thuế thu nhập hoãn lại,Lợi ích thuế thu nhập hoãn lại > Hoàn nhập ghi giảm tài sản thuế thu nhập hoãn lại,Hoàn nhập ghi giảm tài sản thuế thu nhập hoãn lại,(12.206.750),(66.541.153),-12206750.0,-66541153.0
,,,(181.391.892),(173.060.025),-181391892.0,-173060025.0
Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập hoãn lại > Lợi ích thuế thu nhập doanh nghiệp,Lợi ích thuế thu nhập doanh nghiệp,(124.402.123),(127.797.459),-124402123.0,-127797459.0
