row_label_raw,row_label_full,col_0,2023VND'000,2022VND'000,numeric__2023VND'000,numeric__2022VND'000
Opening balance,Opening balance,Opening balance,"2,081,826,883","1,157,484,188",,
Increase due to business combination,Increase due to business combination,Increase due to business combination,"21,070,721",-,,
Additions during the year,Additions during the year,Additions during the year,"752,584,087","1,187,411,479",,
Transfer to tangible fixed assets (Note 12),Transfer to tangible fixed assets (Note 12),Transfer to tangible fixed assets (Note 12),"(341,369,035)","(239,993,822)",,
Transfer to intangible fixed assets (Note 13),Transfer to tangible fixed assets (Note 12) > Transfer to intangible fixed assets (Note 13),Transfer to intangible fixed assets (Note 13),"(2,378,738)","(94,079)",,-94.079
Transfer to long-term prepaid expenses (Note 16),Transfer to long-term prepaid expenses (Note 16),Transfer to long-term prepaid expenses (Note 16),"(7,428,168)","(3,359,516)",,
Disposals,Transfer to long-term prepaid expenses (Note 16) > Disposals,Disposals,"(569,478)",-,-569.478,
Other movements,Other movements,Other movements,-,"(17,676,315)",,
Currency translation differences,Currency translation differences,Currency translation differences,"7,141,348","(1,945,052)",,
Closing balance,Closing balance,Closing balance,"2,510,877,620","2,081,826,883",,
