row_label_raw,row_label_full,col_0,Code Note,Code Note_1,2023 VND’000,2022 VND’000,numeric__Code Note,numeric__Code Note_1,numeric__2023 VND’000,numeric__2022 VND’000
CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,CASH FLOWS FROM FINANCING ACTIVITIES,,,,
Proceeds from borrowings and bonds issued,CASH FLOWS FROM FINANCING ACTIVITIES > Proceeds from borrowings and bonds issued,Proceeds from borrowings and bonds issued,33,,"16,720,366,704","9,447,891,713",33.0,,,
Payments to settle loan principals and bond issuance related costs,CASH FLOWS FROM FINANCING ACTIVITIES > Payments to settle loan principals and bond issuance related costs,Payments to settle loan principals and bond issuance related costs,34,,"(16,247,151,257)","(7,450,091,614)",34.0,,,
Net cash flows from financing activities,CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows from financing activities,Net cash flows from financing activities,40,,"473,215,447","1,997,800,099",40.0,,,
Net cash flows during the year (50 = 20 + 30 + 40),CASH FLOWS FROM FINANCING ACTIVITIES > Net cash flows during the year (50 = 20 + 30 + 40),Net cash flows during the year (50 = 20 + 30 + 40),50,,"(531,136,935)","465,840,057",50.0,,,
Cash and cash equivalents at the beginning of the year,CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the beginning of the year,Cash and cash equivalents at the beginning of the year,60,,"1,502,879,248","1,043,789,572",60.0,,,
Effect of exchange rate fluctuation on cash and cash equivalents,CASH FLOWS FROM FINANCING ACTIVITIES > Effect of exchange rate fluctuation on cash and cash equivalents,Effect of exchange rate fluctuation on cash and cash equivalents,61,,"2,442,041","(6,750,381)",61.0,,,
Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),CASH FLOWS FROM FINANCING ACTIVITIES > Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),Cash and cash equivalents at the end of the year (70 = 50 + 60 + 61),70,7,"974,184,354","1,502,879,248",70.0,7.0,,
