row_label_raw,row_label_full,col_0,ĐấtNghìn VND,Phần mềmmáy vi tínhNghìn VND,Quyền khai tháckhoáng sảnNghìn VND,Chi phítriển khai (*)Nghìn VND,Tên thươnghiệuNghìn VND,Quan hệ vớikhách hàngNghìn VND,Công nghệNghìn VND,Tài sản cố địnhvô hình khácNghìn VND,Tổng cộngNghìn VND,numeric__ĐấtNghìn VND,numeric__Phần mềmmáy vi tínhNghìn VND,numeric__Quyền khai tháckhoáng sảnNghìn VND,numeric__Chi phítriển khai (*)Nghìn VND,numeric__Tên thươnghiệuNghìn VND,numeric__Quan hệ vớikhách hàngNghìn VND,numeric__Công nghệNghìn VND,numeric__Tài sản cố địnhvô hình khácNghìn VND,numeric__Tổng cộngNghìn VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,30.896.140,394.777.454,792.655.211,608.152.402,993.568.946,204.053.250,1.370.528.592,24.628.787,4.419.260.782,30896140.0,394777454.0,792655211.0,608152402.0,993568946.0,204053250.0,1370528592.0,24628787.0,4419260782.0
Tăng do hợp nhất kinh doanh,Nguyên giá > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,8.178.240,29.550.416,-,-,-,-,-,26.089.889,63.818.545,8178240.0,29550416.0,,,,,,26089889.0,63818545.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,4.441.033,3.048.980,-,-,-,-,-,-,7.490.013,4441033.0,3048980.0,,,,,,,7490013.0
Chuyển từ chi phíxây dựng cơ bản dở dang(Thuyết minh 15),Nguyên giá > Chuyển từ chi phíxây dựng cơ bản dở dang(Thuyết minh 15),Chuyển từ chi phíxây dựng cơ bản dở dang(Thuyết minh 15),-,2.378.738,-,-,-,-,-,-,2.378.738,,2378738.0,,,,,,,2378738.0
Chênh lệch do chuyển đổi tiền tệ,Nguyên giá > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,(2.586.500),18.547.076,-,38.082.808,62.217.785,12.777.917,85.823.187,1.538.260,216.400.533,-2586500.0,18547076.0,,38082808.0,62217785.0,12777917.0,85823187.0,1538260.0,216400533.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,40.928.913,448.302.664,792.655.211,646.235.210,1.055.786.731,216.831.167,1.456.351.779,52.256.936,4.709.348.611,40928913.0,448302664.0,792655211.0,646235210.0,1055786731.0,216831167.0,1456351779.0,52256936.0,4709348611.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,381.715.882,282.798.144,153.431.976,86.208.719,14.831.190,172.414.472,6.452.215,1.097.852.598,,381715882.0,282798144.0,153431976.0,86208719.0,14831190.0,172414472.0,6452215.0,1097852598.0
Tăng do hợp nhất kinh doanh,Giá trị hao mòn lũy kế > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,-,13.916.748,-,-,-,-,-,-,13.916.748,,13916748.0,,,,,,,13916748.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,9.879.509,37.767.190,35.321.464,34.773.458,5.982.362,69.545.719,2.578.065,195.847.767,,9879509.0,37767190.0,35321464.0,34773458.0,5982362.0,69545719.0,2578065.0,195847767.0
Chênh lệch do chuyển đổi tiền tệ,Giá trị hao mòn lũy kế > Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,-,18.800.142,-,10.264.859,6.045.114,1.039.990,12.090.019,333.505,48.573.629,,18800142.0,,10264859.0,6045114.0,1039990.0,12090019.0,333505.0,48573629.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,424.312.281,320.565.334,199.018.299,127.027.291,21.853.542,254.050.210,9.363.785,1.356.190.742,,424312281.0,320565334.0,199018299.0,127027291.0,21853542.0,254050210.0,9363785.0,1356190742.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,30.896.140,13.061.572,509.857.067,454.720.426,907.360.227,189.222.060,1.198.114.120,18.176.572,3.321.408.184,30896140.0,13061572.0,509857067.0,454720426.0,907360227.0,189222060.0,1198114120.0,18176572.0,3321408184.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,40.928.913,23.990.383,472.089.877,447.216.911,928.759.440,194.977.625,1.202.301.569,42.893.151,3.353.157.869,40928913.0,23990383.0,472089877.0,447216911.0,928759440.0,194977625.0,1202301569.0,42893151.0,3353157869.0
