row_label_raw,row_label_full,col_0,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance),Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_1,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_2,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_3,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_4,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_5,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_6,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_7,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_8,Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_9,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance),numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_1,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_2,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_3,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_4,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_5,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_6,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_7,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_8,numeric__Form B 09 – DN/HN(Issued under Circular No. 202/2014/TT-BTC dated 22 December 2014 of the Ministry of Finance)_9
(b),(b),(b),Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,Long-term financial investments,,,,,,,,,,
(b),(b),(b),Address,31/12/2023,31/12/2023,31/12/2023,31/12/2023,1/1/2023,1/1/2023,1/1/2023,1/1/2023,1/1/2023,,,,,,,,,,
(b),(b),(b),Address,Quantity,% of equity owned,Carrying value VND'000,Allowance for diminution in value VND,Fair value VND,Quantity,% of equity owned,Carrying value VND'000,Allowance for diminution in value VND,,,,,,,,,,
Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,Equity investments in Associates,,,,,,,,,,
Jiangwu H.C. StarckTungsten Products Co. Ltd.,Equity investments in Associates > Jiangwu H.C. StarckTungsten Products Co. Ltd.,Jiangwu H.C. StarckTungsten Products Co. Ltd.,China,,30%,"211,552,770",-,(**),,30%,"190,164,060",-,,,0.3,,,,,0.3,,
Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,Equity investments in Others,,,,,,,,,,
Nyobolt Limited (*),Equity investments in Others > Nyobolt Limited (*),Nyobolt Limited (*),"Cambridge, UK","755,161",21.5%,"1,426,422,485",-,(**),"755,161",21.5%,"1,342,363,039",-,,755.161,2.15,,,,755.161,2.15,,
,,,,,,"1,637,975,255",-,,,,"1,532,527,099",-,,,,,,,,,,
(*),(*),(*),"Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.","Equity investments in other entities as at 31 December 2023 represent investment in 755,161 shares of Nyobolt Limited (""Nyobolt""). As at 31 December 2023 the investment represents 21.5% of equity owned or 15% equity interest on a fully diluted basis. The management assessed that the Group does not have significant influences over Nyobolt and thus account for this investment as investments in equity instruments of other entities.",,,,,,,,,,
(**),(**),(**),The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,The Group has not determined the fair values of the equity investments for disclosure in the consolidated financial statements because information about their market prices are not available and there is currently no guidance on determination of fair value using valuation techniques under Vietnamese Accounting Standards or the Vietnamese Accounting System for Enterprises. The fair values of the equity investments may differ from their carrying amounts.,,,,,,,,,,
