row_label_raw,row_label_full,col_0,31/12/2023 > Loại tiền,31/12/2023 > Lãi suất năm %,31/12/2023 > Nghìn VND,1/1/2023 > Lãi suất năm %,1/1/2023 > Nghìn VND,numeric__31/12/2023 > Loại tiền,numeric__31/12/2023 > Lãi suất năm %,numeric__31/12/2023 > Nghìn VND,numeric__1/1/2023 > Lãi suất năm %,numeric__1/1/2023 > Nghìn VND
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),USD,"8,20 - 8,50",809.136.075,"4,00 - 9,50",394.465.896,,,809136075.0,,394465896.0
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),VND,"7,20 - 9,50",801.338.773,"6,20 - 8,50",957.259.857,,,801338773.0,,957259857.0
Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),USD,"5,50 - 10,43",717.955.303,"3,92 - 10,43",563.751.156,,,717955303.0,,563751156.0
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),USD,"7,40 - 7,80",495.768.864,"3,00 - 7,80",533.739.324,,,495768864.0,,533739324.0
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),EUR,"3,50 + lãi suất biên",274.300.000,"3,23",779.220.000,,,274300000.0,3.23,779220000.0
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),USD,"8,07 - 8,12",200.673.054,-,-,,,200673054.0,,
Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),USD,"7,90",140.944.470,"3,92 - 10,24",185.404.032,,7.9,140944470.0,,185404032.0
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),USD,"8,50 - 10,00",102.387.309,"6,50 - 9,50",11.756.448,,,102387309.0,,11756448.0
Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),Khoản vay ngân hàng được đảm bảo (*) (**),VND,"7,10 - 7,87",86.445.473,"4,10 + lãi suất biên",333.714.270,,,86445473.0,,333714270.0
Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),Khoản vay ngân hàng được đảm bảo (*),USD,"4,50 - 7,80",59.120.436,"4,50 - 6,95",117.278.387,,,59120436.0,,117278387.0
