row_label_raw,row_label_full,Ban Giám đốc,Ban Giám đốc_1,Ban Giám đốc_2,numeric__Ban Giám đốc_1,numeric__Ban Giám đốc_2
,,,Ông Craig Richard Bradshaw,Tổng Giám đốc,,
,,,Ông Hady Seyeda,Phó Tổng Giám đốc,,
,,,Bà Đình Lệ Hằng,Phó Tổng Giám đốc(từ ngày 20/2/2023),,
,,,Ông Nguyễn Huy Tuân,Giám đốc Tài chính(từ ngày 18/1/2024),,
,,,,Quyền Giám đốc Tài chính(đến ngày 17/1/2024),,
