row_label_raw,row_label_full,col_0,Code,Note,31/12/2023VND'000,1/1/2023VND'000,numeric__Code,numeric__Note,numeric__31/12/2023VND'000,numeric__1/1/2023VND'000
RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,RESOURCES,,,,
LIABILITIES (300 = 310 + 330),RESOURCES > LIABILITIES (300 = 310 + 330),LIABILITIES (300 = 310 + 330),300,,"26,747,864,250","26,273,561,415",300.0,,,
Current liabilities,RESOURCES > Current liabilities,Current liabilities,310,,"11,020,687,246","17,154,059,090",310.0,,,
Accounts payable to suppliers,RESOURCES > Accounts payable to suppliers,Accounts payable to suppliers,311,,"1,085,062,959","1,574,455,591",311.0,,,
Advances from customers,RESOURCES > Advances from customers,Advances from customers,312,17,"757,161,635","489,804,070",312.0,17.0,,
Taxes payable to State Treasury,RESOURCES > Taxes payable to State Treasury,Taxes payable to State Treasury,313,18,"187,859,233","160,206,536",313.0,18.0,,
Payables to employees,RESOURCES > Payables to employees,Payables to employees,314,,"18,584,094","14,841,657",314.0,,,
Accrued expenses,RESOURCES > Accrued expenses,Accrued expenses,315,19,"832,650,231","818,655,883",315.0,19.0,,
Other short-term payables,RESOURCES > Other short-term payables,Other short-term payables,319,20,"235,424,612","980,622,553",319.0,20.0,,
Short-term borrowings and bonds,RESOURCES > Short-term borrowings and bonds,Short-term borrowings and bonds,320,21(a),"7,896,118,080","13,105,475,407",320.0,,,
Provisions - short-term,RESOURCES > Provisions - short-term,Provisions - short-term,321,,"7,826,402","9,997,393",321.0,,,
Long-term liabilities,RESOURCES > Long-term liabilities,Long-term liabilities,330,,"15,727,177,004","9,119,502,325",330.0,,,
Other payables - long-term,RESOURCES > Other payables - long-term,Other payables - long-term,337,,"1,466,595",-,337.0,,,
Long-term borrowings and bonds,RESOURCES > Long-term borrowings and bonds,Long-term borrowings and bonds,338,21(b),"8,760,544,403","2,979,108,965",338.0,,,
Deferred tax liabilities,RESOURCES > Deferred tax liabilities,Deferred tax liabilities,341,22(a),"1,457,520,209","1,517,611,217",341.0,,,
Provisions - long-term,RESOURCES > Provisions - long-term,Provisions - long-term,342,23,"5,507,645,797","4,622,782,143",342.0,23.0,,
EQUITY (400 = 410),RESOURCES > EQUITY (400 = 410),EQUITY (400 = 410),400,,"13,624,491,863","15,247,438,774",400.0,,,
Equity,RESOURCES > Equity,Equity,410,24,"13,624,491,863","15,247,438,774",410.0,24.0,,
Share capital,RESOURCES > Share capital,Share capital,411,25,"10,991,554,200","10,991,554,200",411.0,25.0,,
- Ordinary shares with voting rights,- Ordinary shares with voting rights,- Ordinary shares with voting rights,411a,,"10,991,554,200","10,991,554,200",,,,
Share premium,- Ordinary shares with voting rights > Share premium,Share premium,412,25,"1,098,259,892","1,098,259,892",412.0,25.0,,
Other capital,- Ordinary shares with voting rights > Other capital,Other capital,414,,"(295,683,347)","(295,683,347)",414.0,,,
Foreign exchange differences,- Ordinary shares with voting rights > Foreign exchange differences,Foreign exchange differences,417,,"(233,846,997)","(419,419,764)",417.0,,,
Other equity funds,- Ordinary shares with voting rights > Other equity funds,Other equity funds,420,,"396,305,033","675,544,001",420.0,,,
Retained profits after tax,- Ordinary shares with voting rights > Retained profits after tax,Retained profits after tax,421,,"1,455,345,029","3,031,229,349",421.0,,,
- Retained profits brought forward,- Retained profits brought forward,- Retained profits brought forward,421a,,"3,031,229,349","2,962,204,732",,,,
- (Loss)/retained profit for the current year,- (Loss)/retained profit for the current year,- (Loss)/retained profit for the current year,421b,,"(1,575,884,320)","69,024,617",,,,
Non-controlling interest,- (Loss)/retained profit for the current year > Non-controlling interest,Non-controlling interest,429,,"212,558,053","165,954,443",429.0,,,
TOTAL RESOURCES(440 = 300 + 400),- (Loss)/retained profit for the current year > TOTAL RESOURCES(440 = 300 + 400),TOTAL RESOURCES(440 = 300 + 400),440,,"40,372,356,113","41,521,000,189",440.0,,,
