row_label_raw,row_label_full,col_0,1/1/2023Nghìn VND,Tăng từ hợp nhất kinh doanhNghìn VND,Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,Được ghi nhận trong vốn chủ sở hữuNghìn VND,31/12/2023Nghìn VND,numeric__1/1/2023Nghìn VND,numeric__Tăng từ hợp nhất kinh doanhNghìn VND,numeric__Được ghi nhận trong báo cáo kết quả hoạt động kinh doanh hợp nhấtNghìn VND,numeric__Được ghi nhận trong vốn chủ sở hữuNghìn VND,numeric__31/12/2023Nghìn VND
Trữ lượng khoáng sản và tài nguyên,Trữ lượng khoáng sản và tài nguyên,Trữ lượng khoáng sản và tài nguyên,(507.508.721),-,17.572.640,-,(489.936.081),-507508721.0,,17572640.0,,-489936081.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,(82.201.035),-,(69.632.704),-,(151.833.739),-82201035.0,,-69632704.0,,-151833739.0
(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(Lỗ)/lợi nhuận chưa thực hiện từ các giao dịch nội bộ,(32.742.738),-,17.183.730,(4.741.862),(20.300.870),-32742738.0,,17183730.0,-4741862.0,-20300870.0
Tài sản từ quan hệ có trước hợp nhất kinh doanh,Tài sản từ quan hệ có trước hợp nhất kinh doanh,Tài sản từ quan hệ có trước hợp nhất kinh doanh,12.027.409,-,(4.009.137),-,8.018.272,12027409.0,,-4009137.0,,8018272.0
Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),Tái xác định dự phòng trợ cấp hưu trí (**),225.806.679,28.617.266,(11.192.439),54.594.826,297.826.332,225806679.0,28617266.0,-11192439.0,54594826.0,297826332.0
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,278.547.539,-,147.539.575,20.177.215,446.264.329,278547539.0,,147539575.0,20177215.0,446264329.0
Tài sản vô hình được xác định từ hợp nhất kinh doanh,Tài sản vô hình được xác định từ hợp nhất kinh doanh,Tài sản vô hình được xác định từ hợp nhất kinh doanh,(818.635.499),(4.528.723),42.111.643,(43.707.602),(824.760.181),-818635499.0,-4528723.0,42111643.0,-43707602.0,-824760181.0
Tài sản hữu hình được xác định từ hợp nhất kinh doanh,Tài sản hữu hình được xác định từ hợp nhất kinh doanh,Tài sản hữu hình được xác định từ hợp nhất kinh doanh,(583.281.891),(113.385.422),38.937.556,(30.604.719),(688.334.476),-583281891.0,-113385422.0,38937556.0,-30604719.0,-688334476.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,(49.629.963),-,(2.427.481),(1.213.843),(53.271.287),-49629963.0,,-2427481.0,-1213843.0,-53271287.0
Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,-,-,19.128.896,-,19.128.896,,,19128896.0,,19128896.0
"Chi phí phải trả, các khoản dự phòng và các khoản khác","Chi phí phải trả, các khoản dự phòng và các khoản khác","Chi phí phải trả, các khoản dự phòng và các khoản khác",60.886.281,3.906.938,(13.820.387),4.869.324,55.842.156,60886281.0,3906938.0,-13820387.0,4869324.0,55842156.0
,,,(1.496.731.939),(85.389.941),181.391.892,(626.661),(1.401.356.649),-1496731939.0,-85389941.0,181391892.0,-626661.0,-1401356649.0
