row_label_raw,row_label_full,col_0,2023Nghìn VND,2022Nghìn VND,numeric__2023Nghìn VND,numeric__2022Nghìn VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.081.826.883,1.157.484.188,2081826883.0,1157484188.0
Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,21.070.721,-,21070721.0,
Tăng trong năm,Tăng trong năm,Tăng trong năm,752.584.087,1.187.411.479,752584087.0,1187411479.0
Chuyển sang tài sản cố định hữu hình (Thuyết minh 12),Chuyển sang tài sản cố định hữu hình (Thuyết minh 12),Chuyển sang tài sản cố định hữu hình (Thuyết minh 12),(341.369.035),(239.993.822),-341369035.0,-239993822.0
Chuyển sang tài sản cố định vô hình (Thuyết minh 13),Chuyển sang tài sản cố định vô hình (Thuyết minh 13),Chuyển sang tài sản cố định vô hình (Thuyết minh 13),(2.378.738),(94.079),-2378738.0,-94079.0
Chuyển sang chi phí trả trước dài hạn (Thuyết minh 16),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 16),Chuyển sang chi phí trả trước dài hạn (Thuyết minh 16),(7.428.168),(3.359.516),-7428168.0,-3359516.0
Thanh lý,Thanh lý,Thanh lý,(569.478),-,-569478.0,
Biến động khác,Biến động khác,Biến động khác,-,(17.676.315),,-17676315.0
Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,Chênh lệch do chuyển đổi tiền tệ,7.141.348,(1.945.052),7141348.0,-1945052.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,2.510.877.620,2.081.826.883,2510877620.0,2081826883.0
