row_label_raw,row_label_full,Mr. Craig Richard Bradshaw,Chief Executive Officer,numeric__Chief Executive Officer
Mr. Hady Seyeda,Mr. Hady Seyeda,Mr. Hady Seyeda,Deputy General Director,
Ms. Dinh Le Hang,Ms. Dinh Le Hang,Ms. Dinh Le Hang,Deputy General Director(from 20/2/2023),
Mr. Nguyen Huy Tuan,Mr. Nguyen Huy Tuan,Mr. Nguyen Huy Tuan,Chief Financial Officer(from 18/1/2024)Acting Chief Financial Officer(until 17/1/2024),
