row_label_raw,row_label_full,col_0,Increased by tonnes of ore,numeric__Increased by tonnes of ore
M&E only relating to mineral processing activities,M&E only relating to mineral processing activities,M&E only relating to mineral processing activities,"9,941,325",
M&E relating to mineral processing activities and used in OTC retreatment,M&E relating to mineral processing activities and used in OTC retreatment,M&E relating to mineral processing activities and used in OTC retreatment,"9,941,325",
Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,"9,941,325",
