row_label_raw,row_label_full,col_0,Thuế suất,31/12/2023Nghìn VND,1/1/2023Nghìn VND,numeric__Thuế suất,numeric__31/12/2023Nghìn VND,numeric__1/1/2023Nghìn VND
Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hữu trí phải trả thuần,Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hữu trí phải trả thuần,Tài sản thuế thu nhập hoãn lại:Tái xác định dự phòng trợ cấp hữu trí phải trả thuần,30%,297.826.332,225.806.679,0.3,297826332.0,225806679.0
Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,Giá trị thuế của các khoản lỗ mang sang,"7,5% - 30%",446.264.329,278.547.539,,446264329.0,278547539.0
Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,Lãi chưa thực hiện từ các giao dịch nội bộ,5% - 30%,22.140.757,2.861.558,,22140757.0,2861558.0
Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,Quan hệ có từ trước – Lợi ích của hợp đồng với NPM,30%,8.018.272,12.027.409,0.3,8018272.0,12027409.0
Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,Dự phòng hàng tồn kho,15%,19.128.896,-,0.15,19128896.0,
"Chi phí phải trả, các khoản dự phòng và các khoản khác (*)","Chi phí phải trả, các khoản dự phòng và các khoản khác (*)","Chi phí phải trả, các khoản dự phòng và các khoản khác (*)",30%,36.677.793,38.057.534,0.3,36677793.0,38057534.0
Bù trừ,Bù trừ,Bù trừ,,(773.892.819),(536.421.441),,-773892819.0,-536421441.0
Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,Tổng tài sản thuế thu nhập hoãn lại,,56.163.560,20.879.278,,56163560.0,20879278.0
Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,Thuế thu nhập hoãn lại phải trả:Trữ lượng khai thác và trữ lượng địa chất,15%,489.936.081,507.508.721,0.15,489936081.0,507508721.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,"7,5% - 20%",151.833.739,82.201.035,,151833739.0,82201035.0
Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,Lỗ chưa thực hiện từ các giao dịch nội bộ,10% - 30%,42.441.627,35.604.296,,42441627.0,35604296.0
Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản vô hình mới được xác định từ hợp nhất kinh doanh (*),25% - 30%,824.760.181,818.635.499,,824760181.0,818635499.0
Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),Tài sản hữu hình mới được xác định từ hợp nhất kinh doanh (*),15% - 30%,688.334.476,583.281.891,,688334476.0,583281891.0
Dầu tư vào công ty liên kết,Dầu tư vào công ty liên kết,Dầu tư vào công ty liên kết,25%,53.271.287,49.629.963,0.25,53271287.0,49629963.0
Các khoản khác (*),Các khoản khác (*),Các khoản khác (*),10% - 30%,3.289.488,176.599,,3289488.0,176599.0
Bù trừ,Bù trừ,Bù trừ,,(796.346.670),(559.426.787),,-796346670.0,-559426787.0
Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,Tổng thuế thu nhập hoãn lại phải trả,,1.457.520.209,1.517.611.217,,1457520209.0,1517611217.0
