row_label_raw,row_label_full,2023,Copper VND'000,Fluorspar VND'000,Tungsten VND'000,Others VND'000,Total VND'000,numeric__Copper VND'000,numeric__Fluorspar VND'000,numeric__Tungsten VND'000,numeric__Others VND'000,numeric__Total VND'000
Segment net revenue,Segment net revenue,Segment net revenue,"1,043,540,141","1,419,520,569","11,429,312,414","200,880,363","14,093,253,487",,,,,
Segment gross profit/(loss),Segment gross profit/(loss),Segment gross profit/(loss),"486,168,904","886,403,707","(593,894,393)","5,608,026","784,286,244",,,,,
Unallocated expenses,Unallocated expenses,Unallocated expenses,,,,,"(876,752,056)",,,,,
Financial income,Financial income,Financial income,,,,,"485,311,318",,,,,
Financial expenses,Financial expenses,Financial expenses,,,,,"(2,195,843,856)",,,,,
Share of profit in associates,Share of profit in associates,Share of profit in associates,,,,,"9,709,924",,,,,
Results from operating activities,Results from operating activities,Results from operating activities,,,,,"(1,793,288,426)",,,,,
Other income,Other income,Other income,,,,,"181,078,732",,,,,
Other expenses,Other expenses,Other expenses,,,,,"(41,803,130)",,,,,
Income tax benefit,Income tax benefit,Income tax benefit,,,,,"124,402,123",,,,,
Net profit after tax,Net profit after tax,Net profit after tax,,,,,"(1,529,610,701)",,,,,
