row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2023Nghìn VND,2022Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__2023Nghìn VND,numeric__2022Nghìn VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lỗ trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ trước thuế,Lỗ trước thuế,01,,(1.654.012.824),(22.646.401),1.0,,-1654012824.0,-22646401.0
Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,,,,,,
Khẩu hao và phân bổ,Điều chỉnh cho các khoản > Khẩu hao và phân bổ,Khẩu hao và phân bổ,02,,1.310.149.393,1.501.892.563,2.0,,1310149393.0,1501892563.0
Lợi thế thương mại âm khi mua công ty con,Điều chỉnh cho các khoản > Lợi thế thương mại âm khi mua công ty con,Lợi thế thương mại âm khi mua công ty con,,32,(117.106.706),-,,32.0,-117106706.0,
Các khoản dự phòng,Điều chỉnh cho các khoản > Các khoản dự phòng,Các khoản dự phòng,03,,321.512.295,108.590.016,3.0,,321512295.0,108590016.0
Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Điều chỉnh cho các khoản > Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Lỗ/(lãi) chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,04,,46.840.188,(59.317.383),4.0,,46840188.0,-59317383.0
Lãi từ hoạt động đầu tư,Điều chỉnh cho các khoản > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,,(20.806.022),(25.200.709),5.0,,-20806022.0,-25200709.0
Chi phí lãi vay và chi phí đi vay,Điều chỉnh cho các khoản > Chi phí lãi vay và chi phí đi vay,Chi phí lãi vay và chi phí đi vay,06,,1.556.868.673,1.194.553.796,6.0,,1556868673.0,1194553796.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,1.443.444.997,2.697.871.882,8.0,,1443444997.0,2697871882.0
Biến động các khoản phải thu và tài sản khác,Điều chỉnh cho các khoản > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,461.814.748,(338.066.179),9.0,,461814748.0,-338066179.0
Biến động hàng tồn kho,Điều chỉnh cho các khoản > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,755.677.928,(946.685.853),10.0,,755677928.0,-946685853.0
Biến động các khoản phải trả và nợ phải trả khác,Điều chỉnh cho các khoản > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,,(1.387.835.277),772.041.277,11.0,,-1387835277.0,772041277.0
Biến động chi phí trả trước,Điều chỉnh cho các khoản > Biến động chi phí trả trước,Biến động chi phí trả trước,12,,55.823.645,84.860.443,12.0,,55823645.0,84860443.0
,,,,,1.328.926.041,2.270.021.570,,,1328926041.0,2270021570.0
Tiền lãi vay đã trả,Điều chỉnh cho các khoản > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(1.410.640.810),(1.096.550.489),14.0,,-1410640810.0,-1096550489.0
Thuế thu nhập doanh nghiệp đã nộp,Điều chỉnh cho các khoản > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(74.314.082),(47.148.344),15.0,,-74314082.0,-47148344.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(156.028.851),1.126.322.737,20.0,,-156028851.0,1126322737.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác","Tiền chi mua sắm, xây dựng tài sản cố định và tài sản dài hạn khác",21,,(849.402.409),(1.330.036.496),21.0,,-849402409.0,-1330036496.0
"Tiền thu từ thanh lý, nhượng bán tài sản cố định và tài sản dài hạn khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu từ thanh lý, nhượng bán tài sản cố định và tài sản dài hạn khác","Tiền thu từ thanh lý, nhượng bán tài sản cố định và tài sản dài hạn khác",22,,554.545,3.194.364,22.0,,554545.0,3194364.0
Gửi tiền gửi có kỳ hạn tại ngân hàng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Gửi tiền gửi có kỳ hạn tại ngân hàng,Gửi tiền gửi có kỳ hạn tại ngân hàng,23,,(8.110.000),(8.110.000),23.0,,-8110000.0,-8110000.0
Thu hồi tiền gửi có kỳ hạn và tiền cho vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Thu hồi tiền gửi có kỳ hạn và tiền cho vay,Thu hồi tiền gửi có kỳ hạn và tiền cho vay,24,,8.110.000,7.400.000,24.0,,8110000.0,7400000.0
Hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được mua),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được mua),Hợp nhất kinh doanh (đã trừ đi số dư tiền của công ty con được mua),,,(11.811.687),-,,,-11811687.0,
Tiền chi đầu tư góp vốn vào các đơn vị khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào các đơn vị khác,Tiền chi đầu tư góp vốn vào các đơn vị khác,25,,-,(1.342.363.039),25.0,,,-1342363039.0
Tiền thu lãi tiền gửi,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi tiền gửi,Tiền thu lãi tiền gửi,27,,12.336.020,11.632.392,27.0,,12336020.0,11632392.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(848.323.531),(2.658.282.779),30.0,,-848323531.0,-2658282779.0
