row_label_raw,row_label_full,col_0,1/1/2023VND'000,Increase due to business combination VND'000,Recognised in consolidated statement of income VND'000,Recognised in equity VND'000,31/12/2023VND'000,numeric__1/1/2023VND'000,numeric__Increase due to business combination VND'000,numeric__Recognised in consolidated statement of income VND'000,numeric__Recognised in equity VND'000,numeric__31/12/2023VND'000
Mineral reserves and mineral resources,Mineral reserves and mineral resources,Mineral reserves and mineral resources,"(507,508,721)",-,"17,572,640",-,"(489,936,081)",,,,,
Long-term assets,Long-term assets,Long-term assets,"(82,201,035)",-,"(69,632,704)",-,"(151,833,739)",,,,,
Unrealized (loss)/profit on intra-group transactions,Unrealized (loss)/profit on intra-group transactions,Unrealized (loss)/profit on intra-group transactions,"(32,742,738)",-,"17,183,730","(4,741,862)","(20,300,870)",,,,,
Pre-existing relationship asset,Pre-existing relationship asset,Pre-existing relationship asset,"12,027,409",-,"(4,009,137)",-,"8,018,272",,,,,
Remeasurement of provision for pension liabilities (**),Remeasurement of provision for pension liabilities (**),Remeasurement of provision for pension liabilities (**),"225,806,679","28,617,266","(11,192,439)","54,594,826","297,826,332",,,,,
Tax losses carry-forwards,Tax losses carry-forwards,Tax losses carry-forwards,"278,547,539",-,"147,539,575","20,177,215","446,264,329",,,,,
Identified intangible assets from business combination,Identified intangible assets from business combination,Identified intangible assets from business combination,"(818,635,499)","(4,528,723)","42,111,643","(43,707,602)","(824,760,181)",,,,,
Identified tangible assets from business combination,Identified tangible assets from business combination,Identified tangible assets from business combination,"(583,281,891)","(113,385,422)","38,937,556","(30,604,719)","(688,334,476)",,,,,
Investment in associates,Investment in associates,Investment in associates,"(49,629,963)",-,"(2,427,481)","(1,213,843)","(53,271,287)",,,,,
Allowance for inventories,Allowance for inventories,Allowance for inventories,-,-,"19,128,896",-,"19,128,896",,,,,
"Accrual, provisions and others","Accrual, provisions and others","Accrual, provisions and others","60,886,281","3,906,938","(13,820,387)","4,869,324","55,842,156",,,,,
,,,"(1,496,731,939)","(85,389,941)","181,391,892","(626,661)","(1,401,356,649)",,,,-626.661,
