row_label_raw,row_label_full,col_0,31/12/2023VND’000,1/1/2023VND’000,numeric__31/12/2023VND’000,numeric__1/1/2023VND’000
Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,Other short-term receivables,,
Receivable for mining rights fee (a),Receivable for mining rights fee (a),Receivable for mining rights fee (a),"810,796,587","244,772,921",,
Environmental protection fee prepayment,Environmental protection fee prepayment,Environmental protection fee prepayment,-,"114,239,595",,
Receivable from factoring transaction,Receivable from factoring transaction,Receivable from factoring transaction,"18,987,603","15,744,595",,
Receivable for insurance claim (b),Receivable for insurance claim (b),Receivable for insurance claim (b),"9,132,771","14,873,688",,
Import tax receivable,Import tax receivable,Import tax receivable,"1,988,552","1,431,323",,
Interest income,Import tax receivable > Interest income,Interest income,"357,284","394,574",357.284,394.574
Others,Others,Others,"48,823,691","21,971,445",,
,,,"890,086,488","413,428,141",,
Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,Other long-term receivables,,
Land compensation receivable from Thai Nguyen People’s Committee (c),Land compensation receivable from Thai Nguyen People’s Committee (c),Land compensation receivable from Thai Nguyen People’s Committee (c),"1,228,946,611","1,230,754,171",,
Deposit paid to Environment Protection Fund (d),Deposit paid to Environment Protection Fund (d),Deposit paid to Environment Protection Fund (d),"95,560,756","86,764,016",,
Net defined benefit assets,Net defined benefit assets,Net defined benefit assets,"122,066,644","85,153,285",,
Others,Net defined benefit assets > Others,Others,"582,827","582,827",582.827,582.827
,,,"1,447,156,838","1,403,254,299",,
