row_label_raw,row_label_full,col_0,Mine rehabilitation VND'000,Mining rights VND'000,Pensions and others VND'000,Total VND'000,numeric__Mine rehabilitation VND'000,numeric__Mining rights VND'000,numeric__Pensions and others VND'000,numeric__Total VND'000
Opening balance,Opening balance,Opening balance,"113,830,515","370,322,195","4,138,629,433","4,622,782,143",,,,
Increase due to business combination,Increase due to business combination,Increase due to business combination,-,-,"324,134,521","324,134,521",,,,
Increase during the year,Increase during the year,Increase during the year,"5,372,800","8,936,436","168,340,310","182,649,546",,,,
Remeasurement of provision for pensions (*),Remeasurement of provision for pensions (*),Remeasurement of provision for pensions (*),-,-,"344,951,548","344,951,548",,,,
Provision used during the year,Provision used during the year,Provision used during the year,-,-,"(237,638,163)","(237,638,163)",,,,
Currency translation differences,Currency translation differences,Currency translation differences,-,-,"270,766,202","270,766,202",,,,
Closing balance,Closing balance,Closing balance,"119,203,315","379,258,631","5,009,183,851","5,507,645,797",,,,
