row_label_raw,row_label_full,col_0,2023VND’000,2022VND’000,numeric__2023VND’000,numeric__2022VND’000
Current tax expense,Current tax expense,Current tax expense,Current tax expense,Current tax expense,,
Current year,Current year,Current year,"56,633,077","47,666,207",,
Under/(over) provision for prior years,Current year > Under/(over) provision for prior years,Under/(over) provision for prior years,"356,692","(2,403,641)",356.692,
,,,"56,989,769","45,262,566",,
Deferred tax benefit,Deferred tax benefit,Deferred tax benefit,Deferred tax benefit,Deferred tax benefit,,
Origination and reversal of temporary differences,Origination and reversal of temporary differences,Origination and reversal of temporary differences,"(169,185,142)","(9,336,031)",,
Benefit of tax losses recognised,Benefit of tax losses recognised,Benefit of tax losses recognised,-,"(97,182,841)",,
Reversal of write-down of deferred tax assets,Reversal of write-down of deferred tax assets,Reversal of write-down of deferred tax assets,"(12,206,750)","(66,541,153)",,
,,,"(181,391,892)","(173,060,025)",,
Income tax benefit,Income tax benefit,Income tax benefit,"(124,402,123)","(127,797,459)",,
