row_label_raw,row_label_full,Related Party,Nature of transactions,2023 VND'000,2022 VND'000,numeric__Nature of transactions,numeric__2023 VND'000,numeric__2022 VND'000
Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Bond interest (i),"173,591,303","24,127,446",,,
Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company > Wincommerce General Commercial Services Joint Stock Company,Wincommerce General Commercial Services Joint Stock Company,Purchase of goods,"460,199",-,,460.199,
Masan Brewery Distribution One Member Company Limited,Wincommerce General Commercial Services Joint Stock Company > Masan Brewery Distribution One Member Company Limited,Masan Brewery Distribution One Member Company Limited,Purchase of goods,"267,209",-,,267.209,
Masan Meatlife Corporation,Masan Meatlife Corporation,Masan Meatlife Corporation,Bond interest (i),-,"5,748,164",,,
The SHERPA Company Limited,The SHERPA Company Limited,The SHERPA Company Limited,Bond interest (i),"38,386,553",-,,,
Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,Ultimate parent company's associate,,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Interest expense,"127,699,211","97,888,171",,,
TCB and its subsidiaries,TCB and its subsidiaries,TCB and its subsidiaries,Bond interest (i),"27,047,001","29,119,749",,,
,,,Borrowings received,"2,176,950,040","1,688,168,551",,,
,,,Borrowings repaid,"1,848,003,968","1,961,417,271",,,
,,,Bonds issued(TCB is the issuance consultant),"5,800,000,000","290,000,000",,,
,,,Bonds paid(TCB is the issuance consultant),"5,800,000,000","45,176,200",,,
Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,Key management personnel,,,
,,,"Salary, bonus and other benefits (ii)","23,378,841","23,084,039",,,
