row_label_raw,row_label_full,col_0,31/12/2023,31/12/2023_1,31/12/2023_2,1/1/2023,1/1/2023_1,numeric__31/12/2023,numeric__31/12/2023_1,numeric__31/12/2023_2,numeric__1/1/2023,numeric__1/1/2023_1
,,,Currency,Annual interest %,VND'000,Annual interest %,VND'000,,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,8.20 - 8.50,"809,136,075",4.00 - 9.50,"394,465,896",,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),VND,7.20 - 9.50,"801,338,773",6.20 - 8.50,"957,259,857",,,,,
Secured bank loan (*) (**),Secured bank loan (*) (**),Secured bank loan (*) (**),USD,5.50 - 10.43,"717,955,303",3.92 - 10.43,"563,751,156",,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,7.40 - 7.80,"495,768,864",3.00 - 7.80,"533,739,324",,,,,
Secured bank loan (*),Secured bank loan (*) > Secured bank loan (*),Secured bank loan (*),EUR,3.50 + Margin,"274,300,000",3.23,"779,220,000",,,,323.0,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,8.07 - 8.12,"200,673,054",-,-,,,,,
Secured bank loan (*) (**),Secured bank loan (*) > Secured bank loan (*) (**),Secured bank loan (*) (**),USD,7.90,"140,944,470",3.92 - 10.24,"185,404,032",,790.0,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,8.50 - 10.00,"102,387,309",6.50 - 9.50,"11,756,448",,,,,
Secured bank loan (*) (**),Secured bank loan (*) (**),Secured bank loan (*) (**),VND,7.10 - 7.87,"86,445,473",4.10 + margin,"333,714,270",,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,4.50 - 7.80,"59,120,436",4.50 - 6.95,"117,278,387",,,,,
Secured bank loan (*),Secured bank loan (*) > Secured bank loan (*),Secured bank loan (*),USD,7.46,"21,075,900",-,-,,746.0,,,
Secured bank loan (*) (**),Secured bank loan (*) (**),Secured bank loan (*) (**),VND,6.90 - 7.20,"7,720,500",-,-,,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,-,-,5.10 - 5.90,"25,727,972",,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,-,-,4.60 - 7.70,"206,931,566",,,,,
Secured bank loan (*),Secured bank loan (*) > Secured bank loan (*),Secured bank loan (*),VND,-,-,9.30,"151,947,330",,,,930.0,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),USD,-,-,5.00 - 7.80,"7,547,532",,,,,
Secured bank loan (*),Secured bank loan (*),Secured bank loan (*),VND,-,-,8.40 - 9.30,"305,413,750",,,,,
Unsecured bank loan,Unsecured bank loan,Unsecured bank loan,VND,4.10 - 5.40,"221,224,465",4.30 - 9.20,"50,911,992",,,,,
Unsecured bank loan,Unsecured bank loan,Unsecured bank loan,USD,6.60 - 7.50,"84,784,587",5.20 - 6.45,"58,834,403",,,,,
Unsecured bank loan,Unsecured bank loan > Unsecured bank loan,Unsecured bank loan,CNY,4.35,"34,938,669",4.35,"35,299,394",,435.0,,435.0,
Unsecured bank loan,Unsecured bank loan > Unsecured bank loan,Unsecured bank loan,CNY,4.15,"34,938,669",-,-,,415.0,,,
Unsecured bank loan,Unsecured bank loan,Unsecured bank loan,USD,8.06 - 8.28,"19,359,510",3.05 - 7.42,"301,798,142",,,,,
Unsecured bank loan,Unsecured bank loan > Unsecured bank loan,Unsecured bank loan,CNY,3.80,"17,468,838",-,-,,380.0,,,
Unsecured bank loan,Unsecured bank loan > Unsecured bank loan,Unsecured bank loan,USD,6.60,"418,862",-,-,,660.0,418.862,,
Unsecured loan from related party,Unsecured bank loan > Unsecured loan from related party,Unsecured loan from related party,VND,8.00,"616,500,000",5.00 - 7.00,"197,240,000",,800.0,,,
Unsecured loan from related party,Unsecured bank loan > Unsecured loan from related party,Unsecured loan from related party,VND,8.00,"600,000,000",6.50 - 7.30,"600,000,000",,800.0,,,
Unsecured loan from related party,Unsecured bank loan > Unsecured loan from related party,Unsecured loan from related party,VND,8.00,"460,000,000",,-,,800.0,,,
,,,,,"5,806,499,757",,"5,818,241,451",,,,,
