row_label_raw,row_label_full,Thuế phải nộp Nhà nước Việt Nam > Thuế giá trị gia tăng,1/1/2023Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Tăng do hợp nhất kinh doanh Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Số phải nộp trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > 411.614.712,Số đã nộp/bù trừ trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > (411.614.712),Phân loại lại Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,Chênh lệch do chuyển đổi tiền tệ Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,31/12/2023Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__1/1/2023Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Tăng do hợp nhất kinh doanh Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Số phải nộp trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > 411.614.712,numeric__Số đã nộp/bù trừ trong năm Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > (411.614.712),numeric__Phân loại lại Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__Chênh lệch do chuyển đổi tiền tệ Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -,numeric__31/12/2023Nghìn VND > Thuế phải nộp Nhà nước Việt Nam > -
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,-,164.027.833,(162.837.310),-,-,1.190.523,,,164027833.0,-162837310.0,,,1190523.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,21.753.841,-,9.625.282,(22.159.259),-,-,9.219.864,21753841.0,,9625282.0,-22159259.0,,,9219864.0
Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,Thuế bảo vệ môi trường,-,-,18.006.570,(18.006.570),-,-,-,,,18006570.0,-18006570.0,,,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.023.967,-,102.753.728,(105.149.924),-,-,6.627.771,9023967.0,,102753728.0,-105149924.0,,,6627771.0
Thuế tài nguyên,Thuế tài nguyên,Thuế tài nguyên,-,-,293.387.879,(293.387.879),-,-,-,,,293387879.0,-293387879.0,,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,778.914,-,23.855.077,(24.379.119),-,-,254.872,778914.0,,23855077.0,-24379119.0,,,254872.0
,,,31.556.722,-,1.023.271.081,(1.037.534.773),-,-,17.293.030,31556722.0,,1023271081.0,-1037534773.0,,,17293030.0
Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,Thuế phải nộp cho cơ quan thuế nước ngoài,,,,,,,
Thuế thu nhập doanh nghiệp,Thuế phải nộp cho cơ quan thuế nước ngoài > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,57.871.246,62.302.829,47.364.487,(66.520.793),(28.769.522),5.477.075,77.725.322,57871246.0,62302829.0,47364487.0,-66520793.0,-28769522.0,5477075.0,77725322.0
Các loại thuế khác,Thuế phải nộp cho cơ quan thuế nước ngoài > Các loại thuế khác,Các loại thuế khác,70.778.568,6.161.844,167.309.547,(184.852.108),28.769.522,4.673.508,92.840.881,70778568.0,6161844.0,167309547.0,-184852108.0,28769522.0,4673508.0,92840881.0
,,,128.649.814,68.464.673,214.674.034,(251.372.901),-,10.150.583,170.566.203,128649814.0,68464673.0,214674034.0,-251372901.0,,10150583.0,170566203.0
,,,160.206.536,68.464.673,1.237.945.115,(1.288.907.674),-,10.150.583,187.859.233,160206536.0,68464673.0,1237945115.0,-1288907674.0,,10150583.0,187859233.0
