row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2023Nghìn VND,1/1/2023Nghìn VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2023Nghìn VND,numeric__1/1/2023Nghìn VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),TÀI SẢN > Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,10.603.675.497,12.228.222.738,100.0,,10603675497.0,12228222738.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,7,974.184.354,1.502.879.248,110.0,7.0,974184354.0,1502879248.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,974.184.354,802.638.824,111.0,,974184354.0,802638824.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,-,700.240.424,112.0,,,700240424.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,8.110.000,8.110.000,120.0,,8110000.0,8110000.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,8(a),8.110.000,8.110.000,123.0,,8110000.0,8110000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.757.111.564,2.940.659.090,130.0,,2757111564.0,2940659090.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,9,1.668.813.631,2.170.552.039,131.0,9.0,1668813631.0,2170552039.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,206.875.846,371.552.598,132.0,,206875846.0,371552598.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,10,890.086.488,413.428.141,136.0,10.0,890086488.0,413428141.0
Dự phòng phải thu ngắn hạn khó đòi,TÀI SẢN > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,137,,(8.664.401),(14.873.688),137.0,,-8664401.0,-14873688.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,11,5.997.555.598,6.858.167.780,140.0,11.0,5997555598.0,6858167780.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,6.191.668.845,6.905.038.000,141.0,,6191668845.0,6905038000.0
Dự phòng giảm giá hàng tồn kho,TÀI SẢN > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,149,,(194.113.247),(46.870.220),149.0,,-194113247.0,-46870220.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,866.713.981,918.406.620,150.0,,866713981.0,918406620.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,,61.872.986,74.887.091,151.0,,61872986.0,74887091.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,780.061.010,807.301.517,152.0,,780061010.0,807301517.0
Thuế và các khoản khác phải thu Nhà nước,TÀI SẢN > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,,24.779.985,36.218.012,153.0,,24779985.0,36218012.0
