row_label_raw,row_label_full,M&E relating to only mineral processing activities;,(a),numeric__(a)
"M&E relating to mineral processing activities, and being used in OTC retreatment","M&E relating to mineral processing activities, and being used in OTC retreatment","M&E relating to mineral processing activities, and being used in OTC retreatment",(a) and (b),
Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,Fair value of mineral reserves from business combination,(a) and (b),
