row_label_raw,row_label_full,Bên liên quan,Bản chất của giao dịch,2023Nghìn VND,2022Nghìn VND,numeric__Bản chất của giao dịch,numeric__2023Nghìn VND,numeric__2022Nghìn VND
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,,
Công ty Cổ phần,Công ty mẹ cấp cao nhất > Công ty Cổ phần,Công ty Cổ phần,Khoản vay nhận được,842.500.000,797.240.000,,842500000.0,797240000.0
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Khoản vay đã trả,423.240.000,181.676.000,,423240000.0,181676000.0
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Chi phí lãi vay,83.193.934,26.195.625,,83193934.0,26195625.0
Tập đoàn Masan (“MSN”),Công ty mẹ cấp cao nhất > Tập đoàn Masan (“MSN”),Tập đoàn Masan (“MSN”),Mua dịch vụ,1.055.783,3.724.293,,1055783.0,3724293.0
Công ty mẹ cấp cao,Công ty mẹ cấp cao,Công ty mẹ cấp cao,Công ty mẹ cấp cao,Công ty mẹ cấp cao,Công ty mẹ cấp cao,,,
Công ty TNHH Zenith Investment,Công ty mẹ cấp cao > Công ty TNHH Zenith Investment,Công ty TNHH Zenith Investment,Lãi trái phiếu (i),3.895.890,-,,3895890.0,
Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,Công ty mẹ trực tiếp,,,
Công ty TNHH,Công ty mẹ trực tiếp > Công ty TNHH,Công ty TNHH,Khoản vay nhận được,501.000.000,-,,501000000.0,
Tầm nhìn Masan (“MH”),Công ty mẹ trực tiếp > Tầm nhìn Masan (“MH”),Tầm nhìn Masan (“MH”),Khoản vay đã trả,41.000.000,-,,41000000.0,
Tầm nhìn Masan (“MH”),Công ty mẹ trực tiếp > Tầm nhìn Masan (“MH”),Tầm nhìn Masan (“MH”),Chi phí lãi vay,20.200.548,-,,20200548.0,
Tầm nhìn Masan (“MH”),Công ty mẹ trực tiếp > Tầm nhìn Masan (“MH”),Tầm nhìn Masan (“MH”),Lãi trái phiếu (i),99.621.488,508.059,,99621488.0,508059.0
Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,Công ty con của công ty mẹ cấp cao nhất,,,
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Mua hàng hóa,1.227.248,1.351.022,,1227248.0,1351022.0
Công ty Cổ phần Hàng tiêu dùng Masan,Công ty con của công ty mẹ cấp cao nhất > Công ty Cổ phần Hàng tiêu dùng Masan,Công ty Cổ phần Hàng tiêu dùng Masan,Mua dịch vụ,122.030,122.030,,122030.0,122030.0
