row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Công ty con:Tên công ty,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Địa chỉ,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích kinh tế tại31/12/2023,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2023,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Địa chỉ,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Tỷ lệ lợi ích kinh tế tại31/12/2023,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2023
Công ty con trực tiếpCông ty TNHH MTV Tài Nguyên Masan Thái Nguyên (“MRTN”),Công ty con trực tiếpCông ty TNHH MTV Tài Nguyên Masan Thái Nguyên (“MRTN”),Công ty con trực tiếpCông ty TNHH MTV Tài Nguyên Masan Thái Nguyên (“MRTN”),(i) Thành phố Hồ Chí Minh,Quản lý đầu tư,100%,100%,,,1.0,1.0
Công ty con gián tiếpCông ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Công ty con gián tiếpCông ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),Công ty con gián tiếpCông ty TNHH MTV Thương mại và Đầu tư Thái Nguyên (“TNTI”),(i) Thành phố Hồ Chí Minh,Quản lý đầu tư,100%,100%,,,1.0,1.0
Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”) (*),Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”) (*),Công ty TNHH Khai thác Chế biến Khoáng sản Núi Pháo (“NPM”) (*),(i) Tỉnh Thái Nguyên,Khai thác và chế biến khoáng sản,100%,100%,,,1.0,1.0
Công ty TNHH Vonfram Masan (“MTC”),Công ty TNHH Vonfram Masan (“MTC”),Công ty TNHH Vonfram Masan (“MTC”),(i) Tỉnh Thái Nguyên,Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,100%,,,1.0,1.0
H.C. Starck Holding (Germany) GmbH (“HCS”)(**),H.C. Starck Holding (Germany) GmbH (“HCS”)(**),H.C. Starck Holding (Germany) GmbH (“HCS”)(**),"(i) Goslar, Đức",Quản lý đầu tư,100%,100%,,,1.0,1.0
ChemiLytics Beteiligungs GmbH,ChemiLytics Beteiligungs GmbH,ChemiLytics Beteiligungs GmbH,"(ii) Goslar, Đức",Quản lý đầu tư,100%,100%,,,1.0,1.0
H.C. Starck GmbH,H.C. Starck GmbH,H.C. Starck GmbH,"(ii) Goslar, Đức",Quản lý đầu tư,100%,100%,,,1.0,1.0
Chemische Fabriken Oker und Branschweig AG,Chemische Fabriken Oker und Branschweig AG,Chemische Fabriken Oker und Branschweig AG,"(ii) Goslar, Đức",Sản xuất hóa chất dùng trong sản xuất giấy và phụ gia cho ngành vật liệu hấp thụ,100%,100%,,,1.0,1.0
H.C. Starck Infrastructure GmbH & Co. KG,H.C. Starck Infrastructure GmbH & Co. KG,H.C. Starck Infrastructure GmbH & Co. KG,"(ii) Munich, Đức",Quản lý tài sản và cung cấp các dịch vụ liên quan,100%,100%,,,1.0,1.0
ChemiLytics GmbH & Co. KG,ChemiLytics GmbH & Co. KG,ChemiLytics GmbH & Co. KG,"(ii) Goslar, Đức",Phân tích hóa học và dữ liệu do lường vật lý,100%,100%,,,1.0,1.0
H.C. Starck Tungsten GmbH,H.C. Starck Tungsten GmbH,H.C. Starck Tungsten GmbH,"(ii) Munich, Đức",Chế biến sâu kim loại màu và kim loại quý hiểm (Vonfram),100%,100%,,,1.0,1.0
