row_label_raw,row_label_full,col_0,31/12/2023 VND'000,1/1/2023 VND'000,numeric__31/12/2023 VND'000,numeric__1/1/2023 VND'000
"Plant, machinery and equipment","Plant, machinery and equipment","Plant, machinery and equipment","1,609,459,652","1,152,691,994",,
Land compensation,Land compensation,Land compensation,"412,261,236","388,080,883",,
"Site clearance, relocation infrastructure and others","Site clearance, relocation infrastructure and others","Site clearance, relocation infrastructure and others","216,434,930","205,963,050",,
Tailing dams,Tailing dams,Tailing dams,"92,810,066","168,661,925",,
Other assets,Other assets,Other assets,"179,911,736","166,429,031",,
,,,"2,510,877,620","2,081,826,883",,
