row_label_raw,row_label_full,Tax payables to Vietnamese State Treasury,1/1/2023 VND'000 > Tax payables to Vietnamese State Treasury,Increase due to business combination VND'000 > Tax payables to Vietnamese State Treasury,Incurred VND'000 > Tax payables to Vietnamese State Treasury,Paid/Offset VND'000 > Tax payables to Vietnamese State Treasury,Reclassification VND'000 > Tax payables to Vietnamese State Treasury,Currency translation differences VND'000 > Tax payables to Vietnamese State Treasury,31/12/2023 VND'000 > Tax payables to Vietnamese State Treasury,numeric__1/1/2023 VND'000 > Tax payables to Vietnamese State Treasury,numeric__Increase due to business combination VND'000 > Tax payables to Vietnamese State Treasury,numeric__Incurred VND'000 > Tax payables to Vietnamese State Treasury,numeric__Paid/Offset VND'000 > Tax payables to Vietnamese State Treasury,numeric__Reclassification VND'000 > Tax payables to Vietnamese State Treasury,numeric__Currency translation differences VND'000 > Tax payables to Vietnamese State Treasury,numeric__31/12/2023 VND'000 > Tax payables to Vietnamese State Treasury
Value added tax,Value added tax,Value added tax,-,-,"411,614,712","(411,614,712)",-,-,-,,,,,,,
Import-export tax,Import-export tax,Import-export tax,-,-,"164,027,833","(162,837,310)",-,-,"1,190,523",,,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"21,753,841",-,"9,625,282","(22,159,259)",-,-,"9,219,864",,,,,,,
Environment protection tax,Environment protection tax,Environment protection tax,-,-,"18,006,570","(18,006,570)",-,-,-,,,,,,,
Personal income tax,Personal income tax,Personal income tax,"9,023,967",-,"102,753,728","(105,149,924)",-,-,"6,627,771",,,,,,,
Natural resource tax,Natural resource tax,Natural resource tax,-,-,"293,387,879","(293,387,879)",-,-,-,,,,,,,
Other taxes,Natural resource tax > Other taxes,Other taxes,"778,914",-,"23,855,077","(24,379,119)",-,-,"254,872",778.914,,,,,,254.872
,,,"31,556,722",-,"1,023,271,081","(1,037,534,773)",-,-,"17,293,030",,,,,,,
Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,Tax payables to foreign tax authorities,,,,,,,
Corporate income tax,Corporate income tax,Corporate income tax,"57,871,246","62,302,829","47,364,487","(66,520,793)","(28,769,522)","5,477,075","77,725,322",,,,,,,
Other taxes,Other taxes,Other taxes,"70,778,568","6,161,844","167,309,547","(184,852,108)","28,769,522","4,673,508","92,840,881",,,,,,,
,,,"128,649,814","68,464,673","214,674,034","(251,372,901)",-,"10,150,583","170,566,203",,,,,,,
,,,"160,206,536","68,464,673","1,237,945,115","(1,288,907,674)",-,"10,150,583","187,859,233",,,,,,,
