row_label_raw,row_label_full,col_0,31/12/2023Nghìn VND,1/1/2023Nghìn VND,numeric__31/12/2023Nghìn VND,numeric__1/1/2023Nghìn VND
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,252.189.471,250.115.192,252189471.0,250115192.0
Tiền lãi vay phải trả,Tiền lãi vay phải trả,Tiền lãi vay phải trả,346.890.886,254.515.802,346890886.0,254515802.0
Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,Trích trước chi phí thuê đất,112.468.333,104.361.498,112468333.0,104361498.0
Thuế và phí tài nguyên,Thuế và phí tài nguyên,Thuế và phí tài nguyên,15.690.196,138.872.954,15690196.0,138872954.0
Tiền thường,Tiền thường,Tiền thường,48.421.167,46.335.612,48421167.0,46335612.0
Phí tư vấn,Phí tư vấn,Phí tư vấn,21.698.007,15.851.304,21698007.0,15851304.0
Chi phí xây dựng phải trả,Chi phí xây dựng phải trả,Chi phí xây dựng phải trả,20.494.038,3.597.485,20494038.0,3597485.0
Trích trước chi phí tài chính khác,Trích trước chi phí tài chính khác,Trích trước chi phí tài chính khác,1.550.261,1.550.261,1550261.0,1550261.0
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,13.247.872,3.455.775,13247872.0,3455775.0
,,,832.650.231,818.655.883,832650231.0,818655883.0
