row_label_raw,row_label_full,Hội đồng Quản trị,Hội đồng Quản trị_1,Hội đồng Quản trị_2,numeric__Hội đồng Quản trị_1,numeric__Hội đồng Quản trị_2
,,,Ông Danny LeÔng Nguyễn Thiều Nam,"Chủ tịchPhó Chủ tịch thứ nhất, thành viên không điều hành",,
,,,Ông Craig Richard BradshawÔng Tadakazu Ohashi,Thành viên điều hànhThành viên không điều hành(từ ngày 18/4/2023),,
,,,Ông Akira Osada,Thành viên không điều hành(đến ngày 31/3/2023),,
,,,Bà Nguyễn Thu Hiền,Thành viên độc lập,,
