row_label_raw,row_label_full,col_0,31/12/2023VND’000,1/1/2023VND’000,numeric__31/12/2023VND’000,numeric__1/1/2023VND’000
Operating costs,Operating costs,Operating costs,"252,189,471","250,115,192",,
Accrued interest payable,Accrued interest payable,Accrued interest payable,"346,890,886","254,515,802",,
Accrual for land leases costs,Accrual for land leases costs,Accrual for land leases costs,"112,468,333","104,361,498",,
Natural resource taxes and fees,Natural resource taxes and fees,Natural resource taxes and fees,"15,690,196","138,872,954",,
Bonus,Bonus,Bonus,"48,421,167","46,335,612",,
Consultant fee,Consultant fee,Consultant fee,"21,698,007","15,851,304",,
Accrual for construction work,Accrual for construction work,Accrual for construction work,"20,494,038","3,597,485",,
Accrual for other financing costs,Accrual for other financing costs,Accrual for other financing costs,"1,550,261","1,550,261",,
Others,Others,Others,"13,247,872","3,455,775",,
,,,"832,650,231","818,655,883",,
