row_label_raw,row_label_full,col_0,Mối quan hệ,Năm 2019,Từ ngày 01/11/2018đến ngày 31/12/2018,numeric__Mối quan hệ,numeric__Năm 2019,numeric__Từ ngày 01/11/2018đến ngày 31/12/2018
,,,,VND,VND,,,
Góp vốn,Góp vốn,Góp vốn,,761.306.400.000,203.015.040.000,,761306400000.0,203015040000.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,761.306.400.000,203.015.040.000,,761306400000.0,203015040000.0
Giảm vốn,Giảm vốn,Giảm vốn,,964.321.000.000,-,,964321000000.0,
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,964.321.000.000,-,,964321000000.0,
Cho vay,Cho vay,Cho vay,,30.000.000.000,-,,30000000000.0,
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,30.000.000.000,-,,30000000000.0,
"Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ","Mua hàng hóa, dịch vụ",,2.970.528.250,-,,2970528250.0,
- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,- Công ty Cổ phần Phát triển Phú Mỹ,Công ty liên kết,635.730.073,-,,635730073.0,
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,2.334.798.177,-,,2334798177.0,
"Nhận cổ tức, lợi nhuận được chia","Nhận cổ tức, lợi nhuận được chia","Nhận cổ tức, lợi nhuận được chia",,285.020.503.000,3.708.144.000,,285020503000.0,3708144000.0
- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,- Công ty TNHH FrieslandCampina VN,Công ty liên kết,237.000.000.000,-,,237000000000.0,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,6.952.770.000,3.708.144.000,,6952770000.0,3708144000.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,41.067.733.000,-,,41067733000.0,
Chi phí đi vay,Chi phí đi vay,Chi phí đi vay,,5.322.916.667,889.583.333,,5322916667.0,889583333.0
- Tinh ủy Bình Dương,- Tinh ủy Bình Dương,- Tinh ủy Bình Dương,Cổ đông Nhà Nước,5.322.916.667,889.583.333,,5322916667.0,889583333.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,,8.792.959.946,2.404.816.050,,8792959946.0,2404816050.0
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,-,920.547.945,,,920547945.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,8.656.192.823,1.379.983.173,,8656192823.0,1379983173.0
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty liên kết,136.767.123,104.284.932,,136767123.0,104284932.0
Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,Số dư tại ngày kết thúc năm tài chính:,,,
,,,Mối quan hệ,31/12/2019,01/01/2019,,,
,,,,VND,VND,,,
Phải thu ngắn hạn khách hàng,Số dư tại ngày kết thúc năm tài chính: > Phải thu ngắn hạn khách hàng,Phải thu ngắn hạn khách hàng,,204.512.681.143,204.512.681.143,,204512681143.0,204512681143.0
- Công ty CP Bất động sản U&I,Số dư tại ngày kết thúc năm tài chính: > - Công ty CP Bất động sản U&I,- Công ty CP Bất động sản U&I,(*),204.512.681.143,204.512.681.143,,204512681143.0,204512681143.0
(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I.,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I.,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I.,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I.,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I.,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I.,,,
Phải thu về cho vay,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > Phải thu về cho vay,Phải thu về cho vay,,145.644.490.809,137.373.572.029,,145644490809.0,137373572029.0
- Công ty CP Đầu tư và Phát triển Tân Thành,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,137.347.102.061,107.347.102.061,,137347102061.0,107347102061.0
- Công ty TNHH YCH-PROTRADE,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Công ty liên kết,8.297.388.748,17.026.469.968,,8297388748.0,17026469968.0
- Công ty CP Cao su Dầu Tiếng Việt Lào,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Công ty liên kết,-,13.000.000.000,,,13000000000.0
Phải thu ngắn hạn khác,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,558.653.617.266,104.292.673.385,,558653617266.0,104292673385.0
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,332.579.793,-,,332579793.0,
- Công ty CP Đầu tư và Phát triển Tân Thành,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,68.424.658,4.207.111.119,,68424658.0,4207111119.0
- Công ty CP May mặc Bình Dương,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,-,7.101.370,,,7101370.0
- Công ty CP Hưng Vượng,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,468.252.612.815,9.699.175.964,,468252612815.0,9699175964.0
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,(*) Công ty có liên quan của cổ đông lớn - Công ty Cổ phần Đầu tư U&I. > - Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Công ty liên kết,-,275.000.000,,,275000000.0
