row_label_raw,row_label_full,col_0,31/12/2019 > Địa chỉ,31/12/2019 > Tỷ lệ lợi ích,31/12/2019 > Tỷ lệ quyền biểu quyết,31/12/2019 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu,01/01/2019 > Tỷ lệ lợi ích,01/01/2019 > Tỷ lệ quyền biểu quyết,01/01/2019 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu,numeric__31/12/2019 > Địa chỉ,numeric__31/12/2019 > Tỷ lệ lợi ích,numeric__31/12/2019 > Tỷ lệ quyền biểu quyết,numeric__31/12/2019 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu,numeric__01/01/2019 > Tỷ lệ lợi ích,numeric__01/01/2019 > Tỷ lệ quyền biểu quyết,numeric__01/01/2019 > Giá trị ghi sở theo phương pháp Vốn chủ sở hữu
,,,,,,VND,,,VND,,,,,,,
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"43,40%","40,00%",294.737.269.609,"43,40%","40,00%",308.329.505.694,,0.434,0.4,294737269609.0,0.434,0.4,308329505694.0
- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%",109.016.480.414,"35,00%","35,00%",131.251.639.729,,0.35,0.35,109016480414.0,0.35,0.35,131251639729.0
- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Tinh Bình Dương,"30,00%","30,00%",226.551.855.672,"30,00%","30,00%",236.187.917.147,,0.3,0.3,226551855672.0,0.3,0.3,236187917147.0
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tinh Bình Dương,"27,52%","24,00%",96.565.705.022,"27,52%","24,00%",75.092.463.155,,0.2752,0.24,96565705022.0,0.2752,0.24,75092463155.0
- Công ty CP Hưng Vương,- Công ty CP Hưng Vương,- Công ty CP Hưng Vương,Tinh Bình Dương,"30,90%","30,90%",10.019.245.002,"30,90%","30,90%",51.842.703.340,,0.309,0.309,10019245002.0,0.309,0.309,51842703340.0
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Tinh Bình Dương,"30,00%","30,00%",46.983.317.135,"30,00%","30,00%",44.382.552.707,,0.3,0.3,46983317135.0,0.3,0.3,44382552707.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Tinh Bình Dương,"41,74%","30,00%",169.169.585.952,"44,51%","34,00%",387.151.259.460,,0.4174,0.3,169169585952.0,0.4451,0.34,387151259460.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Tinh Bình Dương,"48,89%","48,89%",137.798.542.014,"48,89%","48,89%",126.796.350.055,,0.4889,0.4889,137798542014.0,0.4889,0.4889,126796350055.0
,,,,,,1.090.842.000.820,,,1.361.034.391.287,,,,1090842000820.0,,,1361034391287.0
