row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Dự phòng,01/01/2019 (đã điều chỉnh) > Giá trị,01/01/2019 (đã điều chỉnh) > Dự phòng,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Dự phòng,numeric__01/01/2019 (đã điều chỉnh) > Giá trị,numeric__01/01/2019 (đã điều chỉnh) > Dự phòng
,,,VND,VND,VND,VND,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,
- Công ty TNHH Đông Tuấn Việt Nam,a) Ngắn hạn > - Công ty TNHH Đông Tuấn Việt Nam,- Công ty TNHH Đông Tuấn Việt Nam,18.478.634.344,-,14.218.363.618,-,18478634344.0,,14218363618.0,
- Công ty TNHH Công nghiệp Kitech,a) Ngắn hạn > - Công ty TNHH Công nghiệp Kitech,- Công ty TNHH Công nghiệp Kitech,9.659.371.392,-,-,-,9659371392.0,,,
- Công ty TNHH Sản xuất Thương mại Dịch vụ Vĩnh Hưng Đạt,a) Ngắn hạn > - Công ty TNHH Sản xuất Thương mại Dịch vụ Vĩnh Hưng Đạt,- Công ty TNHH Sản xuất Thương mại Dịch vụ Vĩnh Hưng Đạt,7.274.230.920,-,-,-,7274230920.0,,,
- Công ty TNHH Topkey Việt Nam,a) Ngắn hạn > - Công ty TNHH Topkey Việt Nam,- Công ty TNHH Topkey Việt Nam,15.658.434.000,-,-,-,15658434000.0,,,
- Công ty TNHH Công Nghiệp Carbotec Việt Nam,a) Ngắn hạn > - Công ty TNHH Công Nghiệp Carbotec Việt Nam,- Công ty TNHH Công Nghiệp Carbotec Việt Nam,9.659.870.275,-,-,-,9659870275.0,,,
- Các khoản phải thu khác,a) Ngắn hạn > - Các khoản phải thu khác,- Các khoản phải thu khác,94.162.773.443,(257.789.249),79.215.562.787,(1.643.850.000),94162773443.0,-257789249.0,79215562787.0,-1643850000.0
,,,154.893.314.374,(257.789.249),93.433.926.405,(1.643.850.000),154893314374.0,-257789249.0,93433926405.0,-1643850000.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,
- Công Ty CP An Bình (*)(**),b) Dải hạn > - Công Ty CP An Bình (*)(**),- Công Ty CP An Bình (*)(**),65.000.000.000,-,65.000.000.000,-,65000000000.0,,65000000000.0,
- Công Ty CP Bất Đông Sản U&I (*),b) Dải hạn > - Công Ty CP Bất Đông Sản U&I (*),- Công Ty CP Bất Đông Sản U&I (*),204.512.681.143,-,204.512.681.143,-,204512681143.0,,204512681143.0,
,,,269.512.681.143,-,269.512.681.143,-,269512681143.0,,269512681143.0,
c) Phải thu khách hàng là các bên liên quan,b) Dải hạn > c) Phải thu khách hàng là các bên liên quan,c) Phải thu khách hàng là các bên liên quan,204.512.681.143,-,204.512.681.143,-,204512681143.0,,204512681143.0,
