row_label_raw,row_label_full,col_0,Năm 2019,Từ ngày 01/11/2018đến ngày 31/12/2018,numeric__Năm 2019,numeric__Từ ngày 01/11/2018đến ngày 31/12/2018
,,,VND,VND,,
"Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",1.514.232.249,405.755.418,1514232249.0,405755418.0
Chi phí nhân công,Chi phí nhân công,Chi phí nhân công,59.632.287.447,9.676.240.866,59632287447.0,9676240866.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,4.964.869.775,966.655.170,4964869775.0,966655170.0
"Thuế, phí, lệ phí","Thuế, phí, lệ phí","Thuế, phí, lệ phí",451.770.218,50.739.600,451770218.0,50739600.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.940.631.509,8.090.054.801,39940631509.0,8090054801.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,15.793.699.434,3.646.730.085,15793699434.0,3646730085.0
Trích lập/Hoàn nhập dự phòng,Trích lập/Hoàn nhập dự phòng,Trích lập/Hoàn nhập dự phòng,(7.320.091.242),14.177.880.491,-7320091242.0,14177880491.0
Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,-,2.767.879.865,,2767879865.0
,,,114.977.399.390,39.781.936.296,114977399390.0,39781936296.0
