row_label_raw,row_label_full,Phải thu dài hạn khác,Phải thu dài hạn khác_1,Phải thu dài hạn khác_2,12.785.400.684,286.527.528.834,numeric__Phải thu dài hạn khác_1,numeric__Phải thu dài hạn khác_2,numeric__12.785.400.684,numeric__286.527.528.834
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,,12.785.400.684,-,,,12785400684.0,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,,-,286.527.528.834,,,,286527528834.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,1.335.458.997,2.677.166.282,,,1335458997.0,2677166282.0
- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,- Công ty TNHH MTV Đầu tư và Quản lý Dự án Bình Dương,Đại diện vốn của cổ đông Nhà nước,,1.227.395.497,2.454.789.996,,,1227395497.0,2454789996.0
- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Công ty liên kết,,97.521.500,212.897.686,,,97521500.0,212897686.0
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Công ty liên kết,,10.542.000,9.478.600,,,10542000.0,9478600.0
Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,Phải trả khác ngắn hạn,1.096.575.237.604,1.160.007.679.580,,,1096575237604.0,1160007679580.0
- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,- Tỉnh ủy Bình Dương,Cổ đông Nhà Nước,,1.096.575.237.604,1.129.036.152.539,,,1096575237604.0,1129036152539.0
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Công ty liên kết,,-,971.527.041,,,,971527041.0
- Công ty TNHH Phát Triển,- Công ty TNHH Phát Triển,- Công ty TNHH Phát Triển,Cổ đông lớn,,-,30.000.000.000,,,,30000000000.0
