row_label_raw,row_label_full,col_0,31/12/2019,31/12/2019_1,01/01/2019 (đã điều chỉnh),01/01/2019 (đã điều chỉnh)_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__01/01/2019 (đã điều chỉnh),numeric__01/01/2019 (đã điều chỉnh)_1
,,,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
,,,VND,VND,VND,VND,,,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,219.263.132.224,-,275.373.548.384,-,219263132224.0,,275373548384.0,
"Phải thu khách hàng, phải thu khác","Tài sản tài chính > Phải thu khách hàng, phải thu khác","Phải thu khách hàng, phải thu khác",1.914.370.643.415,(6.857.789.249),1.099.824.898.366,(13.337.229.471),1914370643415.0,-6857789249.0,1099824898366.0,-13337229471.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,178.510.802.360,-,160.941.272.700,(525.651.020),178510802360.0,,160941272700.0,-525651020.0
,,,2.312.144.577.999,(6.857.789.249),1.536.139.719.450,(13.862.880.491),2312144577999.0,-6857789249.0,1536139719450.0,-13862880491.0
,,,,,Giá trị ghi sổ kế toán,Giá trị ghi sổ kế toán,,,,
,,,,,31/12/2019,01/01/2019(dã điều chỉnh),,,,
,,,,,VND,VND,,,,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,,,489.139.734.507,848.800.000.000,,,489139734507.0,848800000000.0
"Phải trả người bán, phải trả khác","Nợ phải trả tài chính > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",,,1.210.567.064.686,1.314.593.802.058,,,1210567064686.0,1314593802058.0
Chi phí phải trả,Nợ phải trả tài chính > Chi phí phải trả,Chi phí phải trả,,,446.484.259.275,213.376.422.326,,,446484259275.0,213376422326.0
,,,,,2.146.191.058.468,2.376.770.224.384,,,2146191058468.0,2376770224384.0
