row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,- Công ty CP Cao su Dầu Tiếng Việt Lào,Tinh Bình Dương,"43,40%","40,00%","Trồng, khai thác, chế biến mù cao su",,0.434,0.4,
- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,- Công ty CP Phát triển Phú Mỹ,Tinh Bình Dương,"35,00%","35,00%","Kinh doanh bất động sản, dịch vụ sân golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,- Công ty TNHH FrieslandCampina Việt Nam,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tinh Bình Dương,"27,52%","24,00%",Dịch vụ y tế,,0.2752,0.24,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Tinh Bình Dương,"30,90%","30,90%","Sản xuất kinh doanh sân phẩm từ gỗ, kinh doanh hạ tầng khu công nghiệp",,0.309,0.309,
- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,- Công ty TNHH YCH-PROTRADE,Tinh Bình Dương,"30,00%","30,00%",Kinh doanh dịch vụ logistic,,0.3,0.3,
- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,- Công ty CP Đầu tư và Phát triển Tân Thành,Tinh Bình Dương,"41,74%","30,00%","Kinh doanh bất động sản, dịch vụ sân golf",,0.4174,0.3,
- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,- Công ty CP May mặc Bình Dương,Tinh Bình Dương,"48,89%","48,89%",Sản xuất kinh doanh hàng may mặc,,0.4889,0.4889,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,
Tên Công ty,Tên Công ty,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty CP Cơ khí vận tải Dầu Tiếng,Tên Công ty > - Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,Tinh Bình Dương,"2,10%","2,10%",Vận chuyển và gia công cơ khí,,0.021,0.021,
