row_label_raw,row_label_full,col_0,Mã số,Trình bày lại,Đã trình bày trên báo cáo tài chính kỳ trước,numeric__Mã số,numeric__Trình bày lại,numeric__Đã trình bày trên báo cáo tài chính kỳ trước
Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất,,,
Phải thu ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,332.876.019.162,332.627.879.760,136.0,332876019162.0,332627879760.0
Hàng tồn kho,Bảng cân đối kế toán hợp nhất > Hàng tồn kho,Hàng tồn kho,141,885.615.638.010,758.374.160.685,141.0,885615638010.0,758374160685.0
Thuế GTGT được khấu trừ,Bảng cân đối kế toán hợp nhất > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,9.965.553.624,1.135.768.742,152.0,9965553624.0,1135768742.0
Thuế và các khoản khác phải thu Nhà nước,Bảng cân đối kế toán hợp nhất > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,153,17.838.974.331,109.079.188,153.0,17838974331.0,109079188.0
Phải thu dài hạn của khách hàng,Bảng cân đối kế toán hợp nhất > Phải thu dài hạn của khách hàng,Phải thu dài hạn của khách hàng,211,269.512.681.143,337.240.081.143,211.0,269512681143.0,337240081143.0
Phải thu dài hạn khác,Bảng cân đối kế toán hợp nhất > Phải thu dài hạn khác,Phải thu dài hạn khác,216,404.002.271.656,288.118.090.834,216.0,404002271656.0,288118090834.0
"Đầu tư vào công ty liên doanh, liên kết","Bảng cân đối kế toán hợp nhất > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",252,1.361.034.391.287,1.417.187.951.666,252.0,1361034391287.0,1417187951666.0
Lợi thể thương mại,Bảng cân đối kế toán hợp nhất > Lợi thể thương mại,Lợi thể thương mại,269,-,132.858.233.502,269.0,,132858233502.0
Phải trả ngắn hạn khác,Bảng cân đối kế toán hợp nhất > Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,1.230.228.084.840,1.155.263.484.591,319.0,1230228084840.0,1155263484591.0
Thuế thu nhập hoãn lại phải trả,Bảng cân đối kế toán hợp nhất > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,61.468.955.589,35.911.188.786,341.0,61468955589.0,35911188786.0
Vốn khác của chủ sở hữu,Bảng cân đối kế toán hợp nhất > Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,11.949.349.305,-,414.0,11949349305.0,
Chênh lệch đánh giá lại tài sản,Bảng cân đối kế toán hợp nhất > Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,(35.469.525.274),(96.606.721.889),416.0,-35469525274.0,-96606721889.0
Lợi nhuận sau thuế chưa phân phối,Bảng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,(93.138.269.606),67.276.359.673,421.0,-93138269606.0,67276359673.0
Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,Báo cáo kết quả kinh doanh hợp nhất,,,
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Báo cáo kết quả kinh doanh hợp nhất > Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,(1.758.489.871),54.395.070.508,24.0,-1758489871.0,54395070508.0
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả kinh doanh hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,(30.155.436.439),25.998.123.940,50.0,-30155436439.0,25998123940.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,(31.535.887.268),24.617.673.111,60.0,-31535887268.0,24617673111.0
Lợi nhuận sau thuế của Công ty mẹ,Báo cáo kết quả kinh doanh hợp nhất > Lợi nhuận sau thuế của Công ty mẹ,Lợi nhuận sau thuế của Công ty mẹ,61,(31.907.273.062),24.246.287.317,61.0,-31907273062.0,24246287317.0
Lãi cơ bản trên cổ phiếu,Báo cáo kết quả kinh doanh hợp nhất > Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,70,(106),81,70.0,-106.0,81.0
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,,,
"Lãi, lỗ từ hoạt động đầu tư","Báo cáo lưu chuyển tiền tệ hợp nhất > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,(39.066.663),(56.192.627.042),5.0,-39066663.0,-56192627042.0
