row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019 > VND,Từ ngày 01/11/2018đến ngày 31/12/2018 > VND,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019 > VND,numeric__Từ ngày 01/11/2018đến ngày 31/12/2018 > VND
I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,I. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận trước thuế,,415.804.532.745,(30.155.436.439),,,415804532745.0,-30155436439.0
01,01,01,Điều chỉnh cho các khoản,,,,,,,
02,01 > 02,02,Khấu hao tài sản cố định và bất động sản đầu tư,,70.832.968.804,11.375.321.508,,,70832968804.0,11375321508.0
03,01 > 03,03,Các khoản dự phòng,,13.475.432.595,14.177.880.491,,,13475432595.0,14177880491.0
04,01 > 04,04,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,355.591.026,918.609.720,,,355591026.0,918609720.0
05,01 > 05,05,"Lãi, lỗ từ hoạt động đầu tư",,(258.442.287.252),(39.066.663),,,-258442287252.0,-39066663.0
06,01 > 06,06,Chi phí lãi vay,,93.213.307.979,8.341.388.461,,,93213307979.0,8341388461.0
08,01 > 08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,335.239.545.897,4.618.697.078,,,335239545897.0,4618697078.0
09,01 > 09,09,"Tăng, giảm các khoản phải thu",,(411.899.179.924),(373.197.023.675),,,-411899179924.0,-373197023675.0
10,01 > 10,10,"Tăng, giảm hàng tồn kho",,58.700.911.026,(36.152.206.002),,,58700911026.0,-36152206002.0
11,01 > 11,11,"Tăng, giảm các khoản phải trả",,77.483.114.324,39.513.350.057,,,77483114324.0,39513350057.0
12,01 > 12,12,"Tăng, giảm chi phí trả trước",,27.397.862.169,3.902.901.806,,,27397862169.0,3902901806.0
14,01 > 14,14,Tiền lãi vay đã trả,,(94.827.254.615),(5.882.719.953),,,-94827254615.0,-5882719953.0
15,01 > 15,15,Thuế thu nhập doanh nghiệp đã nộp,,(69.762.868.066),(391.249),,,-69762868066.0,-391249.0
17,01 > 17,17,Tiền chi khác cho hoạt động kinh doanh,,(50.528.071.738),(957.858.656),,,-50528071738.0,-957858656.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(128.195.940.927),(368.155.250.594),,,-128195940927.0,-368155250594.0
21,01 > 21,21,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",,(53.829.337.344),(3.211.883.775),,,-53829337344.0,-3211883775.0
22,01 > 22,22,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",,812.150.668,-,,,812150668.0,
23,01 > 23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(43.400.000.000),(9.000.000.000),,,-43400000000.0,-9000000000.0
24,01 > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,25.830.470.340,147.380.945.970,,,25830470340.0,147380945970.0
25,01 > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,-,(203.015.040.000),,,,-203015040000.0
26,01 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,203.015.040.000,-,,,203015040000.0,
27,01 > 27,27,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,329.148.785.622,3.405.260.900,,,329148785622.0,3405260900.0
28,01 > 28,28,Lưu chuyển tiền thuần từ hoạt động đầu tư,,461.577.109.286,(64.440.716.905),,,461577109286.0,-64440716905.0
