row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2019,01/01/2019 (đã điều chỉnh),numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019 (đã điều chỉnh)
,,,,,VND,VND,,,,
300,300,300,C. NỘ PHẢI TRẢ,,2.509.953.207.008,2.746.754.070.446,,,2509953207008.0,2746754070446.0
310,310,310,I. Nợ ngắn hạn,,2.268.676.890.350,2.597.067.361.197,,,2268676890350.0,2597067361197.0
311,311,311,1. Phải trả người bán ngắn hạn,18,20.583.839.760,19.950.147.389,,18.0,20583839760.0,19950147389.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,19,123.206.008.000,164.330.375.976,,19.0,123206008000.0,164330375976.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,21,66.741.398.627,85.123.065.931,,21.0,66741398627.0,85123065931.0
314,314,314,4. Phải trả người lao động,,17.198.043.656,20.030.964.677,,,17198043656.0,20030964677.0
315,315,315,5. Chỉ phí phải trả ngắn hạn,22,446.484.259.275,213.376.422.326,,22.0,446484259275.0,213376422326.0
318,318,318,6. Doanh thu chưa thực hiện ngắn hạn,20,8.899.705.086,8.047.600.589,,20.0,8899705086.0,8047600589.0
319,319,319,7. Phải trả ngắn hạn khác,23,1.123.716.827.628,1.230.228.084.840,,23.0,1123716827628.0,1230228084840.0
320,320,320,8. Vay và nợ thuê tài chính ngắn hạn,17,455.139.734.507,848.800.000.000,,17.0,455139734507.0,848800000000.0
322,322,322,9. Quỹ khen thưởng phúc lợi,,6.707.073.811,7.180.699.469,,,6707073811.0,7180699469.0
330,330,330,II. Nợ dài hạn,,241.276.316.658,149.686.709.249,,,241276316658.0,149686709249.0
336,336,336,1. Doanh thu chưa thực hiện dài hạn,20,25.817.114.964,23.121.183.831,,20.0,25817114964.0,23121183831.0
337,337,337,2. Phải trả dài hạn khác,23,66.266.397.298,64.415.569.829,,23.0,66266397298.0,64415569829.0
338,338,338,3. Vay và nợ thuê tài chính dài hạn,17,34.000.000.000,-,,17.0,34000000000.0,
341,341,341,4. Thuế thu nhập hoãn lại phải trả,38,114.197.804.396,61.468.955.589,,38.0,114197804396.0,61468955589.0
342,342,342,5. Dự phòng phải trả dài hạn,24,995.000.000,681.000.000,,24.0,995000000.0,681000000.0
400,400,400,D. VỐN CHỦ SỐ HỮU,,3.162.751.379.295,2.941.763.552.750,,,3162751379295.0,2941763552750.0
410,410,410,I. Vốn chủ sở hữu,25,3.162.751.379.295,2.941.763.552.750,,25.0,3162751379295.0,2941763552750.0
411,411,411,1. Vốn góp của chủ sở hữu,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
411a,411a,411a,Cổ phiếu phổ thông có quyền biểu quyết,,3.000.000.000.000,3.000.000.000.000,,,3000000000000.0,3000000000000.0
414,414,414,2. Vốn khác của chủ sở hữu,,11.949.349.305,11.949.349.305,,,11949349305.0,11949349305.0
416,416,416,3. Chênh lệch đánh giá lại tài sản,,(35.469.525.274),(35.469.525.274),,,-35469525274.0,-35469525274.0
417,417,417,4. Chênh lệch tỷ giá hối đoái,26,33.142.773.580,27.642.585.587,,26.0,33142773580.0,27642585587.0
418,418,418,5. Quỹ đầu tư phát triển,,19.148.979.372,12.232.060.595,,,19148979372.0,12232060595.0
421,421,421,6. Lợi nhuận sau thuế chưa phân phối,,114.566.630.623,(93.138.269.606),,,114566630623.0,-93138269606.0
421a,421a,421a,LNST chưa phân phối lũy kế đến cuối kỳ trước,,(108.378.856.523),(35.237.258.219),,,-108378856523.0,-35237258219.0
421b,421b,421b,LNST chưa phân phối năm nay,,222.945.487.146,(57.901.011.387),,,222945487146.0,-57901011387.0
429,429,429,6. Lợi ích cổ đông không kiểm soát,,19.413.171.689,18.547.352.143,,,19413171689.0,18547352143.0
440,440,440,TỔNG CỘNG NGUỒN VỐN,,5.672.704.586.303,5.688.517.623.196,,,5672704586303.0,5688517623196.0
