row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2019,Từ ngày 01/11/2018 đến ngày 31/12/2018,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2019,numeric__Từ ngày 01/11/2018 đến ngày 31/12/2018
,,,,,VND,VND,,,,
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,28,1.674.865.526.929,181.400.595.431,,28.0,1674865526929.0,181400595431.0
02,02,02,2. Các khoản giảm trừ doanh thu,29,850.141.295,373.492.868,,29.0,850141295.0,373492868.0
10,10,10,3. Doanh thu thuần bán hàng và cung cấp dịch vụ,,1.674.015.385.634,181.027.102.563,,,1674015385634.0,181027102563.0
11,11,11,4. Giá vốn hàng bán,30,1.274.630.973.760,166.068.907.598,,30.0,1274630973760.0,166068907598.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,399.384.411.874,14.958.194.965,,,399384411874.0,14958194965.0
21,21,21,6. Doanh thu hoạt động tài chính,31,44.419.299.524,11.616.672.499,,31.0,44419299524.0,11616672499.0
22,22,22,7. Chi phí tài chính,32,94.971.098.585,9.289.173.452,,32.0,94971098585.0,9289173452.0
23,23,23,Trong đó: Chi phí lãi vay,,93.213.307.979,8.341.388.461,,,93213307979.0,8341388461.0
24,24,24,"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",,216.116.378.060,(1.758.489.871),,,216116378060.0,-1758489871.0
25,25,25,9. Chi phí bán hàng,33,40.849.293.019,6.141.367.155,,33.0,40849293019.0,6141367155.0
26,26,26,10. Chi phí quản lý doanh nghiệp,34,114.977.399.390,39.781.936.296,,34.0,114977399390.0,39781936296.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,409.122.298.464,(30.396.099.310),,,409122298464.0,-30396099310.0
31,31,31,12. Thu nhập khác,35,8.730.350.843,766.254.993,,35.0,8730350843.0,766254993.0
32,32,32,13. Chi phí khác,36,2.048.116.562,525.592.122,,36.0,2048116562.0,525592122.0
40,40,40,14. Lợi nhuận khác,,6.682.234.281,240.662.871,,,6682234281.0,240662871.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,415.804.532.745,(30.155.436.439),,,415804532745.0,-30155436439.0
51,51,51,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,37,51.718.685.565,731.862.538,,37.0,51718685565.0,731862538.0
52,52,52,17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,38,63.023.066.800,648.588.291,,38.0,63023066800.0,648588291.0
60,60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,301.062.780.380,(31.535.887.268),,,301062780380.0,-31535887268.0
61,61,61,19. Lợi nhuận sau thuế của Công ty mẹ,,298.228.594.567,(31.907.273.062),,,298228594567.0,-31907273062.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,2.834.185.813,371.385.794,,,2834185813.0,371385794.0
70,70,70,21. Lãi cơ bản trên cổ phiếu,39,966,(106),,39.0,966.0,-106.0
