row_label_raw,row_label_full,col_0,Dịch vụ vận tải,Dịch vụ kho nổi,Thương mại,Dịch vụ khác,Tổng,numeric__Dịch vụ vận tải,numeric__Dịch vụ kho nổi,numeric__Thương mại,numeric__Dịch vụ khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu > Doanh thu thuần từ bán hàng và cung cấp dịch vụ,Doanh thu thuần từ bán hàng và cung cấp dịch vụ,9.041.951.235.451,616.803.810.045,1.813.672.162.767,259.720.853.720,11.732.148.061.983,9041951235451.0,616803810045.0,1813672162767.0,259720853720.0,11732148061983.0
Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,Giá vốn,,,,,
Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn > Giá vốn hàng bán và dịch vụ cung cấp,Giá vốn hàng bán và dịch vụ cung cấp,6.918.262.575.584,357.205.843.358,1.792.768.210.873,220.109.951.093,9.288.346.580.908,6918262575584.0,357205843358.0,1792768210873.0,220109951093.0,9288346580908.0
Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,Lợi nhuận gộp,,,,,
Lợi nhuận gộp,Lợi nhuận gộp > Lợi nhuận gộp,Lợi nhuận gộp,2.123.688.659.867,259.597.966.687,20.903.951.894,39.610.902.627,2.443.801.481.075,2123688659867.0,259597966687.0,20903951894.0,39610902627.0,2443801481075.0
Chi phí không phân bổ,Lợi nhuận gộp > Chi phí không phân bổ,Chi phí không phân bổ,,,,,(505.387.575.667),,,,,-505387575667.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận gộp > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,1.938.413.905.408,,,,,1938413905408.0
Doanh thu hoạt động tài chính,Lợi nhuận gộp > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,306.618.629.376,,,,,306618629376.0
Phần lãi trong công ty liên kết,Lợi nhuận gộp > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,,,,,16.992.631.587,,,,,16992631587.0
Lợi nhuận khác,Lợi nhuận gộp > Lợi nhuận khác,Lợi nhuận khác,,,,,180.448.142.296,,,,,180448142296.0
Chi phí tài chính,Lợi nhuận gộp > Chi phí tài chính,Chi phí tài chính,,,,,(574.082.249.040),,,,,-574082249040.0
Lợi nhuận trước thuế,Lợi nhuận gộp > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,1.868.391.059.627,,,,,1868391059627.0
Chi phí thuế thu nhập doanh nghiệp,Lợi nhuận gộp > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,,(396.904.427.917),,,,,-396904427917.0
Thuế thu nhập doanh nghiệp hoãn lại,Lợi nhuận gộp > Thuế thu nhập doanh nghiệp hoãn lại,Thuế thu nhập doanh nghiệp hoãn lại,,,,,(1.858.270.791),,,,,-1858270791.0
Lợi nhuận trong năm,Lợi nhuận gộp > Lợi nhuận trong năm,Lợi nhuận trong năm,,,,,1.469.628.360.919,,,,,1469628360919.0
Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,Thông tin khác,,,,,
Khấu hao,Thông tin khác > Khấu hao,Khấu hao,,,,,1.798.639.134.000,,,,,1798639134000.0
