row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 đến 5 năm,numeric__Trên 5 năm,numeric__Tổng
,,,VND,VND,VND,VND,,,,
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,
Tiền và các khoản tương đương tiền,Số cuối năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.152.030.770.539,-,-,1.152.030.770.539,1152030770539.0,,,1152030770539.0
Đầu tư tài chính,Số cuối năm > Đầu tư tài chính,Đầu tư tài chính,3.357.277.835.242,20.000.000.000,45.937.767.300,3.423.215.602.542,3357277835242.0,20000000000.0,45937767300.0,3423215602542.0
Phải thu khách hàng và phải thu khác,Số cuối năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.245.459.745.439,177.413.046.717,-,1.422.872.792.156,1245459745439.0,177413046717.0,,1422872792156.0
,,,5.754.768.351.220,197.413.046.717,45.937.767.300,5.998.119.165.237,5754768351220.0,197413046717.0,45937767300.0,5998119165237.0
Các khoản vay,Số cuối năm > Các khoản vay,Các khoản vay,1.488.402.615.113,4.222.556.191.282,1.152.974.515.278,6.863.933.321.673,1488402615113.0,4222556191282.0,1152974515278.0,6863933321673.0
Phải trả người bán và phải trả khác,Số cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.015.565.669.335,309.346.396.995,-,1.324.912.066.330,1015565669335.0,309346396995.0,,1324912066330.0
Chi phí phải trả,Số cuối năm > Chi phí phải trả,Chi phí phải trả,161.752.841.337,-,-,161.752.841.337,161752841337.0,,,161752841337.0
,,,2.665.721.125.785,4.531.902.588.277,1.152.974.515.278,8.350.598.229.340,2665721125785.0,4531902588277.0,1152974515278.0,8350598229340.0
Chênh lệch thanh khoản thuần,Số cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,3.089.047.225.435,(4.334.489.541.560),(1.107.036.747.978),(2.352.479.064.103),3089047225435.0,-4334489541560.0,-1107036747978.0,-2352479064103.0
,,,Dưới 1 năm,Từ 1 đến 5 năm,Trên 5 năm,Tổng,,,,
,,,VND,VND,VND,VND,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền và các khoản tương đương tiền,Số đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,979.225.965.598,-,-,979.225.965.598,979225965598.0,,,979225965598.0
Đầu tư tài chính,Số đầu năm > Đầu tư tài chính,Đầu tư tài chính,3.486.468.628.419,-,45.937.767.300,3.532.406.395.719,3486468628419.0,,45937767300.0,3532406395719.0
Phải thu khách hàng và phải thu khác,Số đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.138.672.477.645,156.668.507.387,-,1.295.340.985.032,1138672477645.0,156668507387.0,,1295340985032.0
,,,5.604.367.071.662,156.668.507.387,45.937.767.300,5.806.973.346.349,5604367071662.0,156668507387.0,45937767300.0,5806973346349.0
Các khoản vay,Số đầu năm > Các khoản vay,Các khoản vay,1.387.771.910.484,3.389.342.331.409,1.151.089.715.598,5.928.203.957.491,1387771910484.0,3389342331409.0,1151089715598.0,5928203957491.0
Phải trả người bán và phải trả khác,Số đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.010.034.113.250,242.854.692.751,155.112.234.668,1.408.001.040.669,1010034113250.0,242854692751.0,155112234668.0,1408001040669.0
Chi phí phải trả,Số đầu năm > Chi phí phải trả,Chi phí phải trả,137.331.269.596,-,-,137.331.269.596,137331269596.0,,,137331269596.0
,,,2.535.137.293.330,3.632.197.024.160,1.306.201.950.266,7.473.536.267.756,2535137293330.0,3632197024160.0,1306201950266.0,7473536267756.0
Chênh lệch thanh khoản thuần,Số đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,3.069.229.778.332,(3.475.528.516.773),(1.260.264.182.966),(1.666.562.921.407),3069229778332.0,-3475528516773.0,-1260264182966.0,-1666562921407.0
