row_label_raw,row_label_full,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Số cuối nămVND > 14.954.906.692,Số đầu nămVND > -,numeric__Số cuối nămVND > 14.954.906.692,numeric__Số đầu nămVND > -
Ngân hàng TNHH CTBC - Chi nhánh TPHCM,Ngân hàng TNHH CTBC - Chi nhánh TPHCM,Ngân hàng TNHH CTBC - Chi nhánh TPHCM,-,199.500.000.000,,199500000000.0
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,-,35.700.793.359,,35700793359.0
,,,14.954.906.692,235.200.793.359,14954906692.0,235200793359.0
