row_label_raw,row_label_full,col_0,Số đầu năm > Giá trịVND,Số đầu năm > Nhận nợVND,Số đầu năm > Hoàn trảVND,Số đầu năm > Phân loại lại sang vay dài hạn đến hạn trảVND,Trong năm > Chênh lệch tỷ giáVND,Số cuối năm > Giá trịVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Nhận nợVND,numeric__Số đầu năm > Hoàn trảVND,numeric__Số đầu năm > Phân loại lại sang vay dài hạn đến hạn trảVND,numeric__Trong năm > Chênh lệch tỷ giáVND,numeric__Số cuối năm > Giá trịVND
Vay dài hạn,Vay dài hạn,Vay dài hạn,4.540.432.047.007,2.686.191.094.000,(351.841.088.557),(1.526.062.993.967),26.811.648.077,5.375.530.706.560,4540432047007.0,2686191094000.0,-351841088557.0,-1526062993967.0,26811648077.0,5375530706560.0
Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,Tổng Công ty có khả năng thanh toán toàn bộ số dư nợ vay dài hạn tại ngày 31 tháng 12 năm 2024 và 31 tháng 12 năm 2023.Chi tiết số dư các khoản vay dài hạn tại ngày kết thúc niên độ kế toán như sau:,,,,,,
,,,,,,,Số cuối nămVND,Số đầu nămVND,,,,,,
a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,a. Vay dài hạn đến hạn trả,,,,,,
Ngân hàng Thương mại Cổ phần Tiên Phong,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng Thương mại Cổ phần Tiên Phong,398.228.125.673,438.571.200.496,,,,,398228125673.0,438571200496.0
Ngân hàng Wooribank Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,Ngân hàng Wooribank Việt Nam,157.381.892.856,103.701.892.856,,,,,157381892856.0,103701892856.0
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,145.624.220.000,53.385.760.000,,,,,145624220000.0,53385760000.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,123.868.908.286,-,,,,,123868908286.0,
Ngân hàng Oversea-Chinese Banking Corporation,a. Vay dài hạn đến hạn trả > Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,Ngân hàng Oversea-Chinese Banking Corporation,121.179.875.319,115.815.919.349,,,,,121179875319.0,115815919349.0
Ngân hàng HSBC Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng HSBC Việt Nam,Ngân hàng HSBC Việt Nam,Ngân hàng HSBC Việt Nam,Ngân hàng HSBC Việt Nam,Ngân hàng HSBC Việt Nam,Ngân hàng HSBC Việt Nam,111.990.600.000,-,,,,,111990600000.0,
Ngân hàng Thương mại Cổ phần Phương Đông,a. Vay dài hạn đến hạn trả > Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng Thương mại Cổ phần Phương Đông,97.867.790.892,93.458.831.004,,,,,97867790892.0,93458831004.0
Ngân hàng TNHH MTV Shinhan Việt Nam,a. Vay dài hạn đến hạn trả > Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,Ngân hàng TNHH MTV Shinhan Việt Nam,92.966.619.698,67.244.973.448,,,,,92966619698.0,67244973448.0
Ngân hàng Woori- Chi nhánh Hong Kong,a. Vay dài hạn đến hạn trả > Ngân hàng Woori- Chi nhánh Hong Kong,Ngân hàng Woori- Chi nhánh Hong Kong,Ngân hàng Woori- Chi nhánh Hong Kong,Ngân hàng Woori- Chi nhánh Hong Kong,Ngân hàng Woori- Chi nhánh Hong Kong,Ngân hàng Woori- Chi nhánh Hong Kong,65.901.956.832,63.010.637.760,,,,,65901956832.0,63010637760.0
