row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, thiết bịVND",Phương tiện vận tảiVND,Thiết bị văn phòngVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, thiết bịVND",numeric__Phương tiện vận tảiVND,numeric__Thiết bị văn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,6.833.645.056,63.073.602.549,16.069.710.270.509,28.259.936.406,16.167.877.454.520,6833645056.0,63073602549.0,16069710270509.0,28259936406.0,16167877454520.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,-,2.582.234.551,3.883.417.191.915,2.772.510.353,3.888.771.936.819,,2582234551.0,3883417191915.0,2772510353.0,3888771936819.0
Đầu tư xây dựng cơ bảnhoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,-,-,3.395.189.006,-,3.395.189.006,,,3395189006.0,,3395189006.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(120.900.000),(242.946.632.286),(475.000.000),(243.542.532.286),,-120900000.0,-242946632286.0,-475000000.0,-243542532286.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,-,7.488.269.420,-,(7.488.269.420),-,,7488269420.0,,-7488269420.0,
Điều chỉnh khác,NGUYÊN GIÁ > Điều chỉnh khác,Điều chỉnh khác,-,10.931.160.867,(11.217.604.502),-,(286.443.635),,10931160867.0,-11217604502.0,,-286443635.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,6.833.645.056,83.954.367.387,19.702.358.414.642,23.069.177.339,19.816.215.604.424,6833645056.0,83954367387.0,19702358414642.0,23069177339.0,19816215604424.0
GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,GIÁ TRỊ HAO MÒN LUỸ KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư đầu năm,Số dư đầu năm,(1.650.254.232),(32.759.121.654),(6.025.652.681.587),(21.954.238.033),(6.082.016.295.506),-1650254232.0,-32759121654.0,-6025652681587.0,-21954238033.0,-6082016295506.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,(300.046.224),(12.256.032.661),(1.782.309.542.863),(2.729.517.151),(1.797.595.138.899),-300046224.0,-12256032661.0,-1782309542863.0,-2729517151.0,-1797595138899.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LUỸ KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,120.900.000,124.255.884.382,475.000.000,124.851.784.382,,120900000.0,124255884382.0,475000000.0,124851784382.0
Phân loại lại,GIÁ TRỊ HAO MÒN LUỸ KẾ > Phân loại lại,Phân loại lại,-,(7.279.768.792),-,7.279.768.792,-,,-7279768792.0,,7279768792.0,
Điều chỉnh khác,GIÁ TRỊ HAO MÒN LUỸ KẾ > Điều chỉnh khác,Điều chỉnh khác,-,(5.630.122.560),4.346.375.413,-,(1.283.747.147),,-5630122560.0,4346375413.0,,-1283747147.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LUỸ KẾ > Số dư cuối năm,Số dư cuối năm,(1.950.300.456),(57.804.145.667),(7.679.359.964.655),(16.928.986.392),(7.756.043.397.170),-1950300456.0,-57804145667.0,-7679359964655.0,-16928986392.0,-7756043397170.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,5.183.390.824,30.314.480.895,10.044.057.588.922,6.305.698.373,10.085.861.159.014,5183390824.0,30314480895.0,10044057588922.0,6305698373.0,10085861159014.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.883.344.600,26.150.221.720,12.022.998.449.987,6.140.190.947,12.060.172.207.254,4883344600.0,26150221720.0,12022998449987.0,6140190947.0,12060172207254.0
