row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,11.732.148.061.983,9.555.979.392.223,,1.0,,11732148061983.0,9555979392223.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,26,11.732.148.061.983,9.555.979.392.223,,10.0,26.0,11732148061983.0,9555979392223.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,27,9.288.346.580.908,7.717.483.802.689,,11.0,27.0,9288346580908.0,7717483802689.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,2.443.801.481.075,1.838.495.589.534,,20.0,,2443801481075.0,1838495589534.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,29,306.618.629.376,370.986.529.940,,21.0,29.0,306618629376.0,370986529940.0
6.,6.,6.,Chi phí tài chính,22,30,574.082.249.040,466.304.340.149,,22.0,30.0,574082249040.0,466304340149.0
,,,- Trong đó: Chi phí lãi vay,23,,417.711.767.303,355.216.330.968,,23.0,,417711767303.0,355216330968.0
7.,7.,7.,Phần lãi trong công ty liên kết,24,13,16.992.631.587,26.416.860.462,,24.0,13.0,16992631587.0,26416860462.0
8.,8.,8.,Chi phí bán hàng,25,31,16.586.106.482,13.386.162.080,,25.0,31.0,16586106482.0,13386162080.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,31,488.801.469.185,410.025.680.845,,26.0,31.0,488801469185.0,410025680845.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+24+(21-22)-(25+26)),30,,1.687.942.917.331,1.346.182.796.862,,30.0,,1687942917331.0,1346182796862.0
11.,11.,11.,Thu nhập khác,31,,263.761.144.581,208.512.533.328,,31.0,,263761144581.0,208512533328.0
12.,12.,12.,Chi phí khác,32,,83.313.002.285,6.084.210.403,,32.0,,83313002285.0,6084210403.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,32,180.448.142.296,202.428.322.925,,40.0,32.0,180448142296.0,202428322925.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.868.391.059.627,1.548.611.119.787,,50.0,,1868391059627.0,1548611119787.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,33,396.904.427.917,310.113.727.002,,51.0,33.0,396904427917.0,310113727002.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,15,1.858.270.791,16.996.697.214,,52.0,15.0,1858270791.0,16996697214.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,1.469.628.360.919,1.221.500.695.571,,60.0,,1469628360919.0,1221500695571.0
,,,Phân bổ cho:,,,,,,,,,
,,,- Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,1.093.233.969.561,972.443.846.631,,,,1093233969561.0,972443846631.0
,,,- Lợi nhuận sau thuế của cổ đông không kiểm soát,,,376.394.391.358,249.056.848.940,,,,376394391358.0,249056848940.0
18.,18.,18.,Lãi cơ bản trên cổ phiếu,70,34,2.879,2.561,,70.0,34.0,2879.0,2561.0
19.,19.,19.,Lãi suy giảm trên cổ phiếu,71,34,2.618,2.328,,71.0,34.0,2618.0,2328.0
