row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Lợi ích cố đồng không kiểm soát,Tổng,numeric__Vốn góp của chủ sở hữu,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cố đồng không kiểm soát,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.236.512.460.000,100.007.210.000,1.129.153.667.912,47.222.561.210,1.489.406.154.844,2.011.756.720.004,8.014.058.773.970,3236512460000.0,100007210000.0,1129153667912.0,47222561210.0,1489406154844.0,2011756720004.0,8014058773970.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,972.443.846.631,249.056.848.940,1.221.500.695.571,,,,,972443846631.0,249056848940.0,1221500695571.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,(97.095.373.800),(76.375.226.000),(173.470.599.800),,,,,-97095373800.0,-76375226000.0,-173470599800.0
Trích quỹ đầu tư phát triển và quỹ khác thuộc vốn chủ sở hữu,Trích quỹ đầu tư phát triển và quỹ khác thuộc vốn chủ sở hữu,Trích quỹ đầu tư phát triển và quỹ khác thuộc vốn chủ sở hữu,-,-,332.033.269.279,(1.162.122.387),(330.871.146.892),-,-,,,332033269279.0,-1162122387.0,-330871146892.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,(50.120.654.500),(14.455.113.105),(64.575.767.605),,,,,-50120654500.0,-14455113105.0,-64575767605.0
Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,-,-,-,-,(11.340.866.767),(4.724.131.103),(16.064.997.870),,,,,-11340866767.0,-4724131103.0,-16064997870.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,130.280.030.000,-,-,(130.280.030.000),-,-,,130280030000.0,,,-130280030000.0,,
Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,-,-,-,-,-,57.644.608.127,57.644.608.127,,,,,,57644608127.0,57644608127.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,67.704.358,-,(5.487.192.505),(3.278.432.183),(8.697.920.330),,,67704358.0,,-5487192505.0,-3278432183.0,-8697920330.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.236.512.460.000,230.287.240.000,1.461.254.641.549,46.060.438.823,1.836.654.737.011,2.219.625.274.680,9.030.394.792.063,3236512460000.0,230287240000.0,1461254641549.0,46060438823.0,1836654737011.0,2219625274680.0,9030394792063.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,1.093.233.969.561,376.394.391.358,1.469.628.360.919,,,,,1093233969561.0,376394391358.0,1469628360919.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),323.613.920.000,-,-,-,(323.613.920.000),-,-,323613920000.0,,,,-323613920000.0,,
Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),Chia cổ tức bằng tiền (ii),-,-,-,-,(106.803.791.400),(47.197.109.400),(154.000.900.800),,,,,-106803791400.0,-47197109400.0,-154000900800.0
Trích quỹ đầu tư phát triển (iii),Trích quỹ đầu tư phát triển (iii),Trích quỹ đầu tư phát triển (iii),-,-,264.773.734.906,-,(264.773.734.906),-,-,,,264773734906.0,,-264773734906.0,,
Trích lập quỹ khen thưởng phúc lợi (iii),Trích lập quỹ khen thưởng phúc lợi (iii),Trích lập quỹ khen thưởng phúc lợi (iii),-,-,-,-,(60.596.926.427),(12.883.454.907),(73.480.381.334),,,,,-60596926427.0,-12883454907.0,-73480381334.0
Trích quỹ khen thưởng Ban điều hành (iii),Trích quỹ khen thưởng Ban điều hành (iii),Trích quỹ khen thưởng Ban điều hành (iii),-,-,-,-,(12.138.281.677),(3.444.815.951),(15.583.097.628),,,,,-12138281677.0,-3444815951.0,-15583097628.0
Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,Công ty con chia cổ tức bằng cổ phiếu,-,197.588.740.000,(14.968.751.525),-,(182.619.988.475),-,-,,197588740000.0,-14968751525.0,,-182619988475.0,,
Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,Công ty con tăng vốn trong năm,-,-,-,-,-,140.665.318.560,140.665.318.560,,,,,,140665318560.0,140665318560.0
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,-,334.370.642,925,(5.665.832.415),(2.818.085.784),(8.149.546.632),,,334370642.0,925.0,-5665832415.0,-2818085784.0,-8149546632.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.560.126.380.000,427.875.980.000,1.711.393.995.572,46.060.439.748,1.973.676.231.272,2.670.341.518.556,10.389.474.545.148,3560126380000.0,427875980000.0,1711393995572.0,46060439748.0,1973676231272.0,2670341518556.0,10389474545148.0
