row_label_raw,row_label_full,col_0,Giá trị ghi số > Số cuối năm VND,Giá trị ghi số > Số đầu năm VND,numeric__Giá trị ghi số > Số cuối năm VND,numeric__Giá trị ghi số > Số đầu năm VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.152.030.770.539,979.225.965.598,1152030770539.0,979225965598.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,3.423.215.602.542,3.532.406.395.719,3423215602542.0,3532406395719.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.422.872.792.156,1.295.340.985.032,1422872792156.0,1295340985032.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,5.998.119.165.237,5.806.973.346.349,5998119165237.0,5806973346349.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,6.863.933.321.673,5.928.203.957.491,6863933321673.0,5928203957491.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.324.912.066.330,1.408.001.040.669,1324912066330.0,1408001040669.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,161.752.841.337,137.331.269.596,161752841337.0,137331269596.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,8.350.598.229.340,7.473.536.267.756,8350598229340.0,7473536267756.0
