row_label_raw,row_label_full,Số cuối năm,Dịch vụ vận tải > VND,Dịch vụ kho nối > VND,Thương mại > VND,Dịch vụ khác > VND,Tổng > VND,numeric__Dịch vụ vận tải > VND,numeric__Dịch vụ kho nối > VND,numeric__Thương mại > VND,numeric__Dịch vụ khác > VND,numeric__Tổng > VND
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,16.255.567.783.929,910.678.260.881,162.457.153.749,351.617.575.869,17.680.320.774.428,16255567783929.0,910678260881.0,162457153749.0,351617575869.0,17680320774428.0
Lãi từ công ty liên kết,Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,48.796.022.972,,,,,48796022972.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,2.129.036.255.349,,,,,2129036255349.0
Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,19.858.153.052.749,,,,,19858153052749.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,8.277.933.196.961,219.034.354.447,150.916.863.487,162.246.495.009,8.810.130.909.904,8277933196961.0,219034354447.0,150916863487.0,162246495009.0,8810130909904.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,658.547.597.697,,,,,658547597697.0
Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,9.468.678.507.601,,,,,9468678507601.0
Số đầu năm,Số đầu năm,Số đầu năm,Dịch vụ vận tải,Dịch vụ kho nối,Thương mại,Dịch vụ khác,Tổng,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,VND,VND,VND,VND,VND,,,,,
Tài sản bộ phận,Số đầu năm > Tài sản bộ phận,Tài sản bộ phận,14.312.066.112.114,964.093.322.792,144.602.492.074,340.534.158.131,15.761.296.085.111,14312066112114.0,964093322792.0,144602492074.0,340534158131.0,15761296085111.0
Lãi từ công ty liên kết,Số đầu năm > Lãi từ công ty liên kết,Lãi từ công ty liên kết,,,,,56.908.541.384,,,,,56908541384.0
Tài sản không phân bổ,Số đầu năm > Tài sản không phân bổ,Tài sản không phân bổ,,,,,1.671.748.808.258,,,,,1671748808258.0
Tổng tài sản hợp nhất,Số đầu năm > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,,,,,17.489.953.434.753,,,,,17489953434753.0
Nợ phải trả bộ phận,Số đầu năm > Nợ phải trả bộ phận,Nợ phải trả bộ phận,7.797.473.191.830,240.384.417.453,110.821.687.631,160.989.562.593,8.309.668.859.507,7797473191830.0,240384417453.0,110821687631.0,160989562593.0,8309668859507.0
Nợ phải trả không phân bổ,Số đầu năm > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,149.889.783.183,,,,,149889783183.0
Tổng nợ phải trả hợp nhất,Số đầu năm > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,,,,,8.459.558.642.690,,,,,8459558642690.0
