row_label_raw,row_label_full,col_0,2019Triệu VND(trình bày lại),2019Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__2019Triệu VND(trình bày lại),numeric__2019Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,67.140.353,67.199.047,(58.694),67140353.0,67199047.0,-58694.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(33.044.970),(33.064.042),19.072,-33044970.0,-33064042.0,19072.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,34.095.383,34.135.005,(39.622),34095383.0,34135005.0,-39622.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,8.747.667,8.745.065,2.602,8747667.0,8745065.0,2602.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.135.222,4.132.620,2.602,4135222.0,4132620.0,2602.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,3.423.270,3.423.240,30,3423270.0,3423240.0,30.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,3.065.380,3.065.350,30,3065380.0,3065350.0,30.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,44.986.706,45.023.696,(36.990),44986706.0,45023696.0,-36990.0
Chi phí hoạt động,Chi phí hoạt động,Chi phí hoạt động,(15.611.575),(15.554.368),(57.207),-15611575.0,-15554368.0,-57207.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,29.375.131,29.469.328,(94.197),29375131.0,29469328.0,-94197.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.568.033),(6.751.911),183.878,-6568033.0,-6751911.0,183878.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,22.807.098,22.717.417,89.681,22807098.0,22717417.0,89681.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,(4.934.401),(4.916.465),(17.936),-4934401.0,-4916465.0,-17936.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,(4.534.401),(4.516.465),(17.936),-4534401.0,-4516465.0,-17936.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,18.272.697,18.200.952,71.745,18272697.0,18200952.0,71745.0
