row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,2020 Triệu VND,2019Triệu VND(trình bày lại),numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__2020 Triệu VND,numeric__2019Triệu VND(trình bày lại)
XI,XI,XI,TỔNG LỢI NHUẠN TRƯỚC THUẾ(MANG SANG TỪ TRANG TRƯỚC),,22.526.169,22.807.098,,,22526169.0,22807098.0
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,34(a),(4.984.816),(4.934.401),,,-4984816.0,-4934401.0
8,8,8,Chi phí thuế thu nhập doanh nghiệp hoãn lại,34(b),502.392,400.000,,,502392.0,400000.0
XII,XII,XII,Chi phí thuế thu nhập doanh nghiệp,,(4.482.424),(4.534.401),,,-4482424.0,-4534401.0
XIII,XIII,XIII,LỢI NHUẠN SAU THUẾ,,18.043.745,18.272.697,,,18043745.0,18272697.0
