row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Tổng cộngTriệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1/1/2020 (trình bày lại),Số dư tại ngày 1/1/2020 (trình bày lại),Số dư tại ngày 1/1/2020 (trình bày lại),37.088.774,4.995.389,412,3.995.393,7.929.375,11.924.768,25.333.463,79.342.806,37088774.0,4995389.0,412.0,3995393.0,7929375.0,11924768.0,25333463.0,79342806.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,18.043.745,18.043.745,,,,,,,18043745.0,18043745.0
Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2020,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2020,Tạm trích các quỹ dự trữ bắt buộc (“DTBB”) trong năm 2020,-,-,-,902.187,1.804.375,2.706.562,(2.706.562),-,,,,902187.0,1804375.0,2706562.0,-2706562.0,
"Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2020","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2020","Tạm trích quỹ khen thưởng, phúc lợi (“KTPL”) trong năm 2020",-,-,-,-,-,-,(1.859.105),(1.859.105),,,,,,,-1859105.0,-1859105.0
Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông,Điều chỉnh trích lập các quỹ DTBB và quỹ KTPL theo Nghị quyết của Đại hội đồng cổ đông,-,-,-,(8),(15),(23),(360.322),(360.345),,,,-8.0,-15.0,-23.0,-360322.0,-360345.0
Chia cổ tức cho cổ đông năm 2019(Thuyết minh 23),Chia cổ tức cho cổ đông năm 2019(Thuyết minh 23),Chia cổ tức cho cổ đông năm 2019(Thuyết minh 23),-,-,-,-,-,-,(2.967.102),(2.967.102),,,,,,,-2967102.0,-2967102.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(10.969),(10.969),-,(10.969),,,,,-10969.0,-10969.0,,-10969.0
Biến động khác,Biến động khác,Biến động khác,-,-,-,-,-,-,(834),(834),,,,,,,-834.0,-834.0
Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,Số dư tại ngày 31/12/2020,37.088.774,4.995.389,412,4.897.572,9.722.766,14.620.338,35.483.283,92.188.196,37088774.0,4995389.0,412.0,4897572.0,9722766.0,14620338.0,35483283.0,92188196.0
