row_label_raw,row_label_full,col_0,2020Triệu VND,2019Triệu VND(trình bày lại),numeric__2020Triệu VND,numeric__2019Triệu VND(trình bày lại)
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ hoạt động khác > Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,Thu nhập từ các khoản cho vay đã xử lý bằng quỹ dự phòng rủi ro,2.417.915,3.178.776,2417915.0,3178776.0
Thu từ nghiệp vụ hoán đổi lãi suất,Thu nhập từ hoạt động khác > Thu từ nghiệp vụ hoán đổi lãi suất,Thu từ nghiệp vụ hoán đổi lãi suất,195,59.590,195.0,59590.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,117.443,184.904,117443.0,184904.0
,,,2.535.553,3.423.270,2535553.0,3423270.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí hoạt động khác > Chi phí cho nghiệp vụ hoán đổi lãi suất,Chi phí cho nghiệp vụ hoán đổi lãi suất,(117.968),-,-117968.0,
Chi về nghiệp vụ bán nợ,Chi phí hoạt động khác > Chi về nghiệp vụ bán nợ,Chi về nghiệp vụ bán nợ,(171),(32),-171.0,-32.0
Chi công tác xã hội,Chi phí hoạt động khác > Chi công tác xã hội,Chi công tác xã hội,(301.184),(163.238),-301184.0,-163238.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(325.098),(194.620),-325098.0,-194620.0
,,,(744.421),(357.890),-744421.0,-357890.0
,,,1.791.132,3.065.380,1791132.0,3065380.0
