row_label_raw,row_label_full,Công ty liên doanh,Giấy phép hoạt động,Lĩnh vực kinh doanh,Tỷ lệ phần vốn sở hữu của Ngân hàng,numeric__Giấy phép hoạt động,numeric__Lĩnh vực kinh doanh,numeric__Tỷ lệ phần vốn sở hữu của Ngân hàng
Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành,Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành,Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành,Giấy phép đầu tư số 2458/GP do Bộ Kế hoạch và Đầu tư cấp ngày 7 tháng 2 năm 2005 và giấy phép điều chỉnh lần gần đây nhất số 2458/GCNĐC2/41/1 ngày 28 tháng 12 năm 2012,Cho thuê văn phòng,52%,,,0.52
Công ty Liên doanh Quản lý Quỹ đầu tư Chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹ đầu tư Chứng khoán Vietcombank,Công ty Liên doanh Quản lý Quỹ đầu tư Chứng khoán Vietcombank,Giấy phép Thành lập và Hoạt động số 06/UBCK-GPHĐQLQ do UBCKNN cấp ngày 2 tháng 12 năm 2005 và giấy phép điều chỉnh lần gần đây nhất số 17/GPĐC-UBCK ngày 9 tháng 2 năm 2018,Quản lý quỹ đầu tư,51%,,,0.51
