row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sản cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.152.479,827.249,15.213,2.994.941,2152479.0,827249.0,15213.0,2994941.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,322.602,837.084,-,1.159.686,322602.0,837084.0,,1159686.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,318.765,837.084,-,1.155.849,318765.0,837084.0,,1155849.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,3.837,-,-,3.837,3837.0,,,3837.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,-,(303),-,(303),,-303.0,,-303.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.475.081,1.664.030,15.213,4.154.324,2475081.0,1664030.0,15213.0,4154324.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,75.572,675.614,-,751.186,75572.0,675614.0,,751186.0
Khẩu hao trong năm,Hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,14.272,276.937,-,291.209,14272.0,276937.0,,291209.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,89.844,952.551,-,1.042.395,89844.0,952551.0,,1042395.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.076.907,151.635,15.213,2.243.755,2076907.0,151635.0,15213.0,2243755.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.385.237,711.479,15.213,3.111.929,2385237.0,711479.0,15213.0,3111929.0
