row_label_raw,row_label_full,col_0,31/12/2019Triệu VND(trình bày lại),31/12/2019Triệu VND(theo báo cáotrước đây),Chênh lệchTriệu VND,numeric__31/12/2019Triệu VND(trình bày lại),numeric__31/12/2019Triệu VND(theo báo cáotrước đây),numeric__Chênh lệchTriệu VND
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,718.761.265,718.577.387,183.878,718761265.0,718577387.0,183878.0
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,728.945.394,728.945.394,-,728945394.0,728945394.0,
Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,(10.184.129),(10.368.007),183.878,-10184129.0,-10368007.0,183878.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,6.346.277,6.350.217,(3.940),6346277.0,6350217.0,-3940.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,4.102.522,4.106.462,(3.940),4102522.0,4106462.0,-3940.0
Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,10.234.970,10.234.039,931,10234970.0,10234039.0,931.0
Hao mòn tài sản cố định,Hao mòn tài sản cố định,Hao mòn tài sản cố định,(6.132.448),(6.127.577),(4.871),-6132448.0,-6127577.0,-4871.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,21.394.143,21.478.521,(84.378),21394143.0,21478521.0,-84378.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,8.673.587,8.672.572,1.015,8673587.0,8672572.0,1015.0
"Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",7.980.791,8.066.139,(85.348),7980791.0,8066139.0,-85348.0
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,400.000,400.000,-,400000.0,400000.0,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,4.339.810,4.339.810,-,4339810.0,4339810.0,
Các khoản dự phòng rủi ro cho các tài sảnCó nội bảng khác,Các khoản dự phòng rủi ro cho các tài sảnCó nội bảng khác,Các khoản dự phòng rủi ro cho các tài sảnCó nội bảng khác,(45),-,(45),-45.0,,-45.0
Tổng ảnh hưởng,Tổng ảnh hưởng,Tổng ảnh hưởng,,,95.560,,,95560.0
