row_label_raw,row_label_full,col_0,Chưa quá hạnvà chưa bịgiảm giáTriệu VND,Đã quá hạnnhưng chưa bị giảm giáTriệu VND,Đã bị giảmgiá và tríchlập dự phòngTriệu VND,Tổng cộng,numeric__Chưa quá hạnvà chưa bịgiảm giáTriệu VND,numeric__Đã quá hạnnhưng chưa bị giảm giáTriệu VND,numeric__Đã bị giảmgiá và tríchlập dự phòngTriệu VND,numeric__Tổng cộng
,,,Chưa quá hạnvà chưa bịgiảm giáTriệu VND,Đã quá hạnnhưng chưa bị giảm giáTriệu VND,Đã bị giảmgiá và tríchlập dự phòngTriệu VND,Triệu VND,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,33.009.681,-,-,33.009.681,33009681.0,,,33009681.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,268.938.448,-,1.000.000,269.938.448,268938448.0,,1000000.0,269938448.0
Tiền gửi tại các tổ chức tín dụngkhác,Tiền gửi tại các tổ chức tín dụngkhác,Tiền gửi tại các tổ chức tín dụngkhác,201.896.086,-,-,201.896.086,201896086.0,,,201896086.0
Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,Cho vay các tổ chức tín dụng khác,67.042.362,-,1.000.000,68.042.362,67042362.0,,1000000.0,68042362.0
Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,Chứng khoán kinh doanh – gộp,62.623,-,-,62.623,62623.0,,,62623.0
Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,803.834.117,10.803.040,18.238.955,832.876.112,803834117.0,10803040.0,18238955.0,832876112.0
Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,157.523.185,-,-,157.523.185,157523185.0,,,157523185.0
Chứng khoán đầu tư sẵn sàngđể bán,Chứng khoán đầu tư sẵn sàngđể bán,Chứng khoán đầu tư sẵn sàngđể bán,42.140.641,-,-,42.140.641,42140641.0,,,42140641.0
Chứng khoán đầu tư giữ đến ngàydảo hạn,Chứng khoán đầu tư giữ đến ngàydảo hạn,Chứng khoán đầu tư giữ đến ngàydảo hạn,115.382.544,-,-,115.382.544,115382544.0,,,115382544.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,13.298.044,-,45,13.298.089,13298044.0,,45.0,13298089.0
,,,1.276.666.098,10.803.040,19.239.000,1.306.708.138,1276666098.0,10803040.0,19239000.0,1306708138.0
