row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2020:,Ngành kinh doanh,Tỷ lệvốn góp(%),Giá gốcTriệu VND,numeric__Ngành kinh doanh,numeric__Tỷ lệvốn góp(%),numeric__Giá gốcTriệu VND
Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Cho thuêvăn phòng,52%,410.365,,0.52,410365.0
Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank (i),Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank (i),Công ty Liên doanh Quản lý Quỹ đầu tư chứng khoán Vietcombank (i),Quản lý quỹ đầu tư,51%,135.150,,0.51,135150.0
,,,,,545.515,,,545515.0
Tại ngày 31 tháng 12 năm 2019:,Tại ngày 31 tháng 12 năm 2019:,Tại ngày 31 tháng 12 năm 2019:,Ngành kinh doanh,Tỷ lệvốn góp(%),Giá gốcTriệu VND,,,
Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Tại ngày 31 tháng 12 năm 2019: > Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Công ty Liên doanh TNHH Vietcombank – Bonday – Bến Thành (i),Cho thuê văn phòng,52%,410.365,,0.52,410365.0
Công ty Liên doanh Quản lý Quỹ đầu tưChứng khoán Vietcombank (i),Tại ngày 31 tháng 12 năm 2019: > Công ty Liên doanh Quản lý Quỹ đầu tưChứng khoán Vietcombank (i),Công ty Liên doanh Quản lý Quỹ đầu tưChứng khoán Vietcombank (i),Quản lý quỹ đầu tư,51%,135.150,,0.51,135150.0
Công ty TNHH Bảo hiểm Nhân thọVietcombank – Cardif (ii),Tại ngày 31 tháng 12 năm 2019: > Công ty TNHH Bảo hiểm Nhân thọVietcombank – Cardif (ii),Công ty TNHH Bảo hiểm Nhân thọVietcombank – Cardif (ii),Bảo hiểm nhân thọ,45%,270.000,,0.45,270000.0
,,,,,815.515,,,815515.0
