row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền đầnTriệu VND",Tài sảncố định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền đầnTriệu VND",numeric__Tài sảncố định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm(trình bày lại),Nguyên giá > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),4.071.241,3.981.513,960.802,1.221.414,10.234.970,4071241.0,3981513.0,960802.0,1221414.0,10234970.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,1.003.612,443.070,164.667,221.113,1.832.462,1003612.0,443070.0,164667.0,221113.0,1832462.0
Tăng trong năm- Mua mới,Nguyên giá > Tăng trong năm- Mua mới,Tăng trong năm- Mua mới,1.003.612,443.070,164.511,219.399,1.830.592,1003612.0,443070.0,164511.0,219399.0,1830592.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,-,156,1.714,1.870,,,156.0,1714.0,1870.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(19.397),(87.743),(20.866),(12.637),(140.643),-19397.0,-87743.0,-20866.0,-12637.0,-140643.0
"Giảm trong năm- Thanh lý, nhượng bán","Nguyên giá > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(9.805),(86.734),(20.866),(12.637),(130.042),-9805.0,-86734.0,-20866.0,-12637.0,-130042.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(9.592),(1.009),-,-,(10.601),-9592.0,-1009.0,,,-10601.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.055.456,4.336.840,1.104.603,1.429.890,11.926.789,5055456.0,4336840.0,1104603.0,1429890.0,11926789.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm(trình bày lại),Hao mòn lũy kế > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),998.420,3.525.256,654.019,954.753,6.132.448,998420.0,3525256.0,654019.0,954753.0,6132448.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,200.717,366.118,86.129,154.057,807.021,200717.0,366118.0,86129.0,154057.0,807021.0
Tăng trong năm- Khấu hao,Hao mòn lũy kế > Tăng trong năm- Khấu hao,Tăng trong năm- Khấu hao,200.703,366.021,86.129,154.057,806.910,200703.0,366021.0,86129.0,154057.0,806910.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,14,97,-,-,111,14.0,97.0,,,111.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(8.773),(86.734),(20.866),(14.970),(131.343),-8773.0,-86734.0,-20866.0,-14970.0,-131343.0
"Giảm trong năm- Thanh lý, nhượng bán","Hao mòn lũy kế > Giảm trong năm- Thanh lý, nhượng bán","Giảm trong năm- Thanh lý, nhượng bán",(8.773),(86.734),(20.866),(12.543),(128.916),-8773.0,-86734.0,-20866.0,-12543.0,-128916.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,-,(2.427),(2.427),,,,-2427.0,-2427.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,1.190.364,3.804.640,719.282,1.093.840,6.808.126,1190364.0,3804640.0,719282.0,1093840.0,6808126.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm(trình bày lại),Giá trị còn lại > Số dư đầu năm(trình bày lại),Số dư đầu năm(trình bày lại),3.072.821,456.257,306.783,266.661,4.102.522,3072821.0,456257.0,306783.0,266661.0,4102522.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.865.092,532.200,385.321,336.050,5.118.663,3865092.0,532200.0,385321.0,336050.0,5118663.0
