row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2020,Năm kết thúc ngày 31 tháng 12 năm 2020_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2020_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,93.048.692,16.509.703,47.428.633,(88.377.861),68.609.167,,93048692.0,16509703.0,47428633.0,-88377861.0,68609167.0
2,2,2,Chi phí lãi và các chi phí tương tự,(77.954.684),(11.245.574),(32.013.355),88.377.861,(32.835.752),,-77954684.0,-11245574.0,-32013355.0,88377861.0,-32835752.0
1,1,1,Thu nhập lãi thuần,15.094.008,5.264.129,15.415.278,-,35.773.415,,15094008.0,5264129.0,15415278.0,,35773415.0
3,3,3,Thu nhập từ hoạt động dịch vụ,6.716.362,679.034,2.903.023,(103.953),10.194.466,,6716362.0,679034.0,2903023.0,-103953.0,10194466.0
4,4,4,Chi phí hoạt động dịch vụ,(3.852.941),(33.886),(90.932),103.953,(3.873.806),,-3852941.0,-33886.0,-90932.0,103953.0,-3873806.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,2.863.421,645.148,2.812.091,-,6.320.660,,2863421.0,645148.0,2812091.0,,6320660.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hồi,2.534.251,156.766,1.214.879,-,3.905.896,,2534251.0,156766.0,1214879.0,,3905896.0
IV,IV,IV,Lỗ thuần từ mua bán chứng khoán kinh doanh,(34.812),-,-,-,(34.812),,-34812.0,,,,-34812.0
5,5,5,Thu nhập từ hoạt động khác,1.152.570,500.291,882.692,-,2.535.553,,1152570.0,500291.0,882692.0,,2535553.0
6,6,6,Chi phí hoạt động khác,(365.597),(127.133),(251.691),-,(744.421),,-365597.0,-127133.0,-251691.0,,-744421.0
VI,VI,VI,Lãi thuần từ hoạt động khác,786.973,373.158,631.001,-,1.791.132,,786973.0,373158.0,631001.0,,1791132.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",449.322,-,-,-,449.322,,449322.0,,,,449322.0
,,,Tổng thu nhập hoạt động,21.693.163,6.439.201,20.073.249,-,48.205.613,,21693163.0,6439201.0,20073249.0,,48205613.0
VIII,VIII,VIII,Chi phí hoạt động,(10.634.792),(1.378.082),(3.734.893),-,(15.747.767),,-10634792.0,-1378082.0,-3734893.0,,-15747767.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,11.058.371,5.061.119,16.338.356,-,32.457.846,,11058371.0,5061119.0,16338356.0,,32457846.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(7.680.011),(792.057),(1.459.609),-,(9.931.677),,-7680011.0,-792057.0,-1459609.0,,-9931677.0
XI,XI,XI,Tổng lợi nhuận trước thuế,3.378.360,4.269.062,14.878.747,-,22.526.169,,3378360.0,4269062.0,14878747.0,,22526169.0
7,7,7,Chi phí thuế TNDN hiện hành,(1.155.254),(853.812),(2.975.750),-,(4.984.816),,-1155254.0,-853812.0,-2975750.0,,-4984816.0
8,8,8,Chi phí thuế TNDN hoãn lại,502.392,-,-,-,502.392,,502392.0,,,,502392.0
XII,XII,XII,Chi phí thuế TNDN,(652.862),(853.812),(2.975.750),-,(4.482.424),,-652862.0,-853812.0,-2975750.0,,-4482424.0
XIII,XIII,XIII,Lợi nhuận sau thuế,2.725.498,3.415.250,11.902.997,-,18.043.745,,2725498.0,3415250.0,11902997.0,,18043745.0
